gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,14850,2048,2048,2,0,48.6717,f6gemm_dmabig_grp16_kernel_func,2559.41,1782.99,0.0
gfx950,256,14850,2048,8192,4,0,147.6949,f6gemm_dmabig_allk_kernel_func,3373.73,1114.78,0.0
gfx950,256,544,3072,3072,1,0,22.9563,f6gemm_dmabig_swz0_kernel_func,447.27,508.51,0.0
gfx950,256,544,3072,12288,0,0,87.4753,f6gemm_dmabig_kernel_func,469.51,419.17,0.0
gfx950,256,2080,3072,3072,1,0,26.7415,f6gemm_dmabig_swz0_kernel_func,1468.08,921.78,0.0
gfx950,256,2080,3072,12288,0,0,81.9864,f6gemm_dmabig_kernel_func,1915.37,735.0,0.0
gfx950,256,512,5120,5120,1,0,34.477,f6gemm_dmabig_swz0_kernel_func,778.59,779.35,0.0
gfx950,256,512,5120,13824,0,0,96.2282,f6gemm_dmabig_kernel_func,753.18,661.3,0.0
gfx950,256,4095,5120,5120,0,0,81.6131,f6gemm_dmabig_kernel_func,2630.66,947.38,0.0
gfx950,256,4095,5120,13824,0,0,192.766,f6gemm_dmabig_kernel_func,3007.16,713.16,0.0
gfx950,256,5850,5120,5120,1,0,92.2529,f6gemm_dmabig_swz0_kernel_func,3324.65,1105.97,0.0
gfx950,256,5850,5120,13824,0,0,224.4911,f6gemm_dmabig_kernel_func,3688.84,773.49,0.0
gfx950,256,9419,5120,5120,0,0,155.9116,f6gemm_dmabig_kernel_func,3167.35,976.71,0.0
gfx950,256,9419,5120,13824,4,0,346.0249,f6gemm_dmabig_allk_kernel_func,3853.28,714.37,0.0
gfx950,256,9450,5120,5120,0,0,143.9198,f6gemm_dmabig_kernel_func,3442.56,1061.12,0.0
gfx950,256,9450,5120,13824,4,0,346.7697,f6gemm_dmabig_allk_kernel_func,3857.66,714.68,0.0
gfx950,256,13950,5120,5120,0,0,229.9052,f6gemm_dmabig_kernel_func,3181.23,939.85,0.0
gfx950,256,13950,5120,13824,0,0,575.9447,f6gemm_dmabig_kernel_func,3428.68,591.32,0.0
gfx950,256,14260,5120,5120,0,0,234.4806,f6gemm_dmabig_kernel_func,3188.47,940.13,0.0
gfx950,256,14260,5120,13824,4,0,549.4137,f6gemm_dmabig_allk_kernel_func,3674.12,631.5,0.0
gfx950,256,18900,5120,5120,0,0,293.9968,f6gemm_dmabig_kernel_func,3370.46,972.03,0.0
gfx950,256,18900,5120,13824,4,0,703.0248,f6gemm_dmabig_allk_kernel_func,3805.61,629.53,0.0
gfx950,256,37800,5120,5120,0,0,577.9327,f6gemm_dmabig_kernel_func,3429.13,954.93,0.0
gfx950,256,37800,5120,13824,4,0,1412.6885,f6gemm_dmabig_allk_kernel_func,3787.73,589.0,0.0
gfx950,256,75348,5120,5120,0,0,1146.4646,f6gemm_dmabig_kernel_func,3445.73,942.52,0.0
gfx950,256,75348,5120,13824,4,0,2811.8032,f6gemm_dmabig_allk_kernel_func,3793.33,571.11,0.0
gfx950,256,75600,5120,5120,0,0,1150.6611,f6gemm_dmabig_kernel_func,3444.64,942.16,0.0
gfx950,256,75600,5120,13824,4,0,2818.3596,f6gemm_dmabig_allk_kernel_func,3797.16,571.63,0.0
gfx950,256,576,6144,6144,1,0,42.3658,f6gemm_dmabig_swz0_kernel_func,1026.46,897.98,0.0
gfx950,256,576,6144,18432,4,0,109.74,f6gemm_dmabig_allk_kernel_func,1188.81,911.02,0.0
gfx950,256,576,6144,24576,4,0,143.8039,f6gemm_dmabig_allk_kernel_func,1209.61,910.55,0.0
gfx950,256,928,6144,6144,0,0,50.2861,f6gemm_dmabig_kernel_func,1393.26,874.82,0.0
gfx950,256,928,6144,18432,0,0,132.8019,f6gemm_dmabig_kernel_func,1582.7,822.03,0.0
gfx950,256,928,6144,24576,0,0,145.4705,f6gemm_dmabig_kernel_func,1926.48,974.45,0.0
gfx950,256,2112,6144,6144,1,0,52.3112,f6gemm_dmabig_swz0_kernel_func,3048.12,1223.37,0.0
gfx950,256,2112,6144,18432,0,0,139.5732,f6gemm_dmabig_kernel_func,3427.25,1003.65,0.0
gfx950,256,2112,6144,24576,0,0,183.9818,f6gemm_dmabig_kernel_func,3466.66,968.18,0.0
gfx950,256,14850,8192,2048,0,0,193.2682,f6gemm_dmabig_kernel_func,2578.2,1442.01,0.0
gfx950,256,544,12288,3072,1,0,27.5239,f6gemm_dmabig_swz0_kernel_func,1492.18,1559.89,0.0
gfx950,256,2080,12288,3072,1,0,58.0349,f6gemm_dmabig_swz0_kernel_func,2705.87,1451.23,0.0
gfx950,256,512,13824,5120,0,0,39.6293,f6gemm_dmabig_kernel_func,1828.89,1746.33,0.0
gfx950,256,4095,13824,5120,0,0,179.9175,f6gemm_dmabig_kernel_func,3221.92,1011.73,0.0
gfx950,256,5850,13824,5120,2,0,248.1036,f6gemm_dmabig_grp16_kernel_func,3337.77,956.41,0.0
gfx950,256,9419,13824,5120,0,0,397.4475,f6gemm_dmabig_kernel_func,3354.74,879.79,0.0
gfx950,256,9450,13824,5120,0,0,383.1924,f6gemm_dmabig_kernel_func,3490.99,915.06,0.0
gfx950,256,13950,13824,5120,0,0,587.7082,f6gemm_dmabig_kernel_func,3360.05,837.73,0.0
gfx950,256,14260,13824,5120,0,0,571.5554,f6gemm_dmabig_kernel_func,3531.79,878.49,0.0
gfx950,256,18900,13824,5120,0,0,774.0795,f6gemm_dmabig_kernel_func,3456.29,837.39,0.0
gfx950,256,37800,13824,5120,0,0,1525.3135,f6gemm_dmabig_kernel_func,3508.05,815.13,0.0
gfx950,256,75348,13824,5120,0,0,3012.1171,f6gemm_dmabig_kernel_func,3541.06,805.29,0.0
gfx950,256,75600,13824,5120,0,0,3018.1362,f6gemm_dmabig_kernel_func,3545.82,806.32,0.0
gfx950,256,576,18432,6144,1,0,62.6058,f6gemm_dmabig_swz0_kernel_func,2083.83,1738.22,0.0
gfx950,256,928,18432,6144,1,0,97.5153,f6gemm_dmabig_swz0_kernel_func,2155.4,1265.65,0.0
gfx950,256,2112,18432,6144,1,0,168.5294,f6gemm_dmabig_swz0_kernel_func,2838.39,1023.7,0.0
gfx950,256,576,55296,6144,1,0,190.9403,f6gemm_dmabig_swz0_kernel_func,2049.74,1681.99,0.0
gfx950,256,928,55296,6144,1,0,249.0798,f6gemm_dmabig_swz0_kernel_func,2531.54,1452.18,0.0
gfx950,256,2112,55296,6144,1,0,517.0381,f6gemm_dmabig_swz0_kernel_func,2775.53,963.38,0.0
