M,N,K
512,5120,5120
512,13824,5120
512,5120,13824
4095,5120,5120
4095,13824,5120
4095,5120,13824
5850,5120,5120
5850,13824,5120
5850,5120,13824
9419,5120,5120
9419,13824,5120
9419,5120,13824
9450,5120,5120
9450,13824,5120
9450,5120,13824
13950,5120,5120
13950,13824,5120
13950,5120,13824
14260,5120,5120
14260,13824,5120
14260,5120,13824
18900,5120,5120
18900,13824,5120
18900,5120,13824
37800,5120,5120
37800,13824,5120
37800,5120,13824
75348,5120,5120
75348,13824,5120
75348,5120,13824
75600,5120,5120
75600,13824,5120
75600,5120,13824
544,3072,3072
544,12288,3072
544,3072,12288
2080,3072,3072
2080,12288,3072
2080,3072,12288
576,6144,6144
576,18432,6144
576,6144,18432
576,55296,6144
576,6144,24576
928,6144,6144
928,18432,6144
928,6144,18432
928,55296,6144
928,6144,24576
2112,6144,6144
2112,18432,6144
2112,6144,18432
2112,55296,6144
2112,6144,24576
14850,2048,2048
14850,8192,2048
14850,2048,8192
