gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,64,256,5120,False,torch.bfloat16,torch.float32,False,False,asm,5,13,7.9191,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0,21.19,417.92
gfx950,256,80,256,5120,False,torch.bfloat16,torch.float32,False,False,asm,7,13,7.9676,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0,26.32,436.97
gfx950,256,128,256,5120,False,torch.bfloat16,torch.float32,False,False,asm,5,10,9.0259,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0,37.18,442.91
gfx950,256,150,256,5120,False,torch.bfloat16,torch.float32,False,False,asm,7,10,9.3334,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0,42.13,453.67
gfx950,256,192,256,5120,False,torch.bfloat16,torch.float32,False,False,asm,8,10,9.8147,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0,51.28,477.43
gfx950,256,220,256,5120,False,torch.bfloat16,torch.float32,False,False,asm,7,8,10.8546,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0,53.13,459.43
gfx950,256,256,256,5120,False,torch.bfloat16,torch.float32,False,False,opus,1202,4,10.8124,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2_nooob,0.0,62.07,497.02
gfx950,256,384,256,5120,False,torch.bfloat16,torch.float32,False,False,asm,3,6,12.0049,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0,83.85,562.29
gfx950,256,448,256,5120,False,torch.bfloat16,torch.float32,False,False,asm,3,5,12.1134,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0,96.95,614.06
gfx950,256,512,256,5120,False,torch.bfloat16,torch.float32,False,False,asm,3,5,12.4844,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0,107.51,650.93
