gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,16,128,7168,asm,6,7,6.1485,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,4.78,0.16854,0.0073
gfx950,256,32,128,7168,asm,7,8,6.3047,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,9.31,0.18321,0.0012
gfx950,256,48,128,7168,asm,6,7,6.5243,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,13.5,0.19525,0.0073
gfx950,256,64,128,7168,asm,7,8,6.337,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,18.53,0.21976,0.0098
gfx950,256,80,128,7168,asm,7,8,8.0249,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,18.29,0.18834,0.0045
gfx950,256,96,128,7168,asm,15,8,8.8365,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,19.94,0.18449,0.0107
gfx950,256,112,128,7168,asm,6,7,7.6026,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,27.03,0.23005,0.0042
gfx950,256,128,128,7168,asm,6,7,8.8728,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,26.47,0.21051,0.0092
gfx950,256,144,128,7168,asm,7,8,8.0541,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,32.81,0.24665,0.0111
gfx950,256,160,128,7168,asm,7,8,8.4521,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,34.74,0.24909,0.0076
gfx950,256,176,128,7168,asm,23,8,7.9649,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,40.55,0.27924,0.0048
gfx950,256,192,128,7168,asm,7,8,8.7548,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,40.24,0.26761,0.0093
gfx950,256,208,128,7168,asm,7,8,7.5139,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,50.8,0.32762,0.0117
gfx950,256,224,128,7168,asm,30,7,9.2902,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,44.24,0.27776,0.0085
gfx950,256,240,128,7168,asm,7,8,9.2722,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,47.5,0.29111,0.0119
gfx950,256,256,128,7168,asm,15,8,9.4713,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,49.6,0.29754,0.0047
gfx950,256,288,128,7168,asm,15,8,8.3144,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,63.56,0.36751,0.0025
gfx950,256,320,128,7168,asm,7,8,9.8117,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,59.85,0.33564,0.0078
gfx950,256,352,128,7168,asm,7,8,9.4965,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,68.02,0.3718,0.0046
gfx950,256,384,128,7168,asm,7,8,10.0883,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,69.85,0.37353,0.0139
