gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,8192,3072,ck,7,0,10.2154,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.93,2465.42,0.0
gfx950,256,2,8192,3072,ck,7,0,10.2404,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.83,2461.3,0.0
gfx950,256,4,8192,3072,ck,7,0,10.2309,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,19.68,2467.39,0.0
gfx950,256,8,8192,3072,ck,7,0,10.2368,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,39.33,2473.57,0.0
gfx950,256,16,8192,3072,ck,7,0,9.62,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,83.71,2648.35,0.0
gfx950,256,32,8192,3072,ck,7,0,10.4508,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,154.11,2467.6,0.0
gfx950,256,64,8192,3072,ck,12,0,10.5348,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,305.77,2507.03,0.0
gfx950,256,128,8192,3072,ck,17,0,12.3702,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,520.8,2235.71,0.0
gfx950,256,256,8192,3072,asm,2,1,15.978,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,806.42,1886.75,0.0
gfx950,256,512,8192,3072,asm,5,1,24.8126,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1038.58,1415.7,0.0
gfx950,256,1024,8192,3072,ck,13,0,41.3057,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1247.76,1091.59,0.0
gfx950,256,2048,8192,3072,ck,13,0,76.0684,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1355.09,854.65,0.0
gfx950,256,4096,8192,3072,ck,13,0,137.7104,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1497.04,761.44,0.0
gfx950,256,8192,8192,3072,ck,13,0,250.6209,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1645.18,736.37,0.0
gfx950,256,16384,8192,3072,ck,13,0,471.5205,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1748.88,729.41,0.0
gfx950,256,32768,8192,3072,ck,13,0,919.5023,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1793.65,720.72,0.0
