M,N,K,q_dtype_w
1,8192,3072,torch.float8_e4m3fn
2,8192,3072,torch.float8_e4m3fn
4,8192,3072,torch.float8_e4m3fn
8,8192,3072,torch.float8_e4m3fn
16,8192,3072,torch.float8_e4m3fn
32,8192,3072,torch.float8_e4m3fn
64,8192,3072,torch.float8_e4m3fn
128,8192,3072,torch.float8_e4m3fn
256,8192,3072,torch.float8_e4m3fn
512,8192,3072,torch.float8_e4m3fn
1024,8192,3072,torch.float8_e4m3fn
2048,8192,3072,torch.float8_e4m3fn
4096,8192,3072,torch.float8_e4m3fn
8192,8192,3072,torch.float8_e4m3fn
16384,8192,3072,torch.float8_e4m3fn
32768,8192,3072,torch.float8_e4m3fn
