gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,2048,2048,torch.float8_e4m3fn,flydsl,1058,4,5.3689,flydsl_bpreshuflle_16x64x256_F8_F8_B16_1x4x0x2_default_ks4,1.56,782.37,0.0
gfx950,256,2,2048,2048,torch.float8_e4m3fn,flydsl,1156,4,5.2174,flydsl_bpreshuflle_16x64x256_F8_F8_B16_0x0x0x1_default_ks4,3.22,806.26,0.0
gfx950,256,4,2048,2048,torch.float8_e4m3fn,flydsl,372,4,4.9853,flydsl_bpreshuflle_16x64x256_F8_F8_B16_1x1x0x2_default_ks4,6.73,846.26,0.0
gfx950,256,8,2048,2048,torch.float8_e4m3fn,flydsl,2116,4,5.0097,flydsl_bpreshuflle_16x64x256_F8_F8_B16_0x4x0x1_default_ks4,13.4,847.05,0.0
gfx950,256,16,2048,2048,torch.float8_e4m3fn,ck,10,0,5.1151,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,26.24,839.2,0.0
gfx950,256,32,2048,2048,torch.float8_e4m3fn,flydsl,849,0,5.1687,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x3x0x2_default,51.93,849.52,0.0
gfx950,256,48,2048,2048,torch.float8_e4m3fn,flydsl,373,0,5.1021,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x1x0x2_default,78.92,879.88,0.0
gfx950,256,64,2048,2048,torch.float8_e4m3fn,ck,10,0,5.2225,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,102.8,878.41,0.0
gfx950,256,128,2048,2048,torch.float8_e4m3fn,flydsl,905,0,5.3586,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x3x4x2_default,200.38,929.48,0.0
gfx950,256,256,2048,2048,torch.float8_e4m3fn,ck,5,0,6.3363,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,338.92,910.18,0.0
gfx950,256,512,2048,2048,torch.float8_e4m3fn,flydsl,926,0,8.2666,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x3x4x2_default,519.56,887.91,0.0
gfx950,256,1024,2048,2048,torch.float8_e4m3fn,flydsl,210,0,10.0359,flydsl_bpreshuflle_64x128x256_F8_F8_B16_1x0x4x2_default,855.92,1044.83,0.0
gfx950,256,2048,2048,2048,torch.float8_e4m3fn,flydsl,234,0,14.4428,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x0x4x2_default,1189.51,1161.63,0.0
gfx950,256,4096,2048,2048,torch.float8_e4m3fn,flydsl,423,0,21.5879,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x1x0x2_default,1591.62,1360.03,0.0
gfx950,256,8192,2048,2048,torch.float8_e4m3fn,flydsl,1000034,0,35.5329,flydsl_bpreshuffle_8w_256x256x128_F8_F8_B16_4x4,1933.97,1534.52,0.0
gfx950,256,16384,2048,2048,torch.float8_e4m3fn,flydsl,1000034,0,68.9759,flydsl_bpreshuffle_8w_256x256x128_F8_F8_B16_4x4,1992.56,1520.21,0.0197
gfx950,256,32768,2048,2048,torch.float8_e4m3fn,flydsl,1000034,0,135.2889,flydsl_bpreshuffle_8w_256x256x128_F8_F8_B16_4x4,2031.78,1519.13,0.0
gfx950,256,1,2624,6144,torch.float8_e4m3fn,flydsl,617,6,6.8313,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x0x2_default_ks6,4.72,2361.67,0.0
gfx950,256,2,2624,6144,torch.float8_e4m3fn,flydsl,125,6,6.721,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x2_default_ks6,9.59,2402.12,0.0
gfx950,256,4,2624,6144,torch.float8_e4m3fn,flydsl,373,4,6.3658,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x1x0x2_default_ks4,20.26,2539.73,0.0
gfx950,256,8,2624,6144,torch.float8_e4m3fn,flydsl,125,4,6.6296,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x2_default_ks4,38.91,2445.55,0.0
gfx950,256,16,2624,6144,torch.float8_e4m3fn,flydsl,617,4,6.9215,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x0x2_default_ks4,74.54,2355.58,0.0
gfx950,256,32,2624,6144,torch.float8_e4m3fn,flydsl,626,4,7.5029,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x2x0x2_default_ks4,137.52,2197.34,0.0
gfx950,256,48,2624,6144,torch.float8_e4m3fn,flydsl,435,2,8.5426,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x1x4x2_default_ks2,181.17,1951.24,0.0
gfx950,256,64,2624,6144,torch.float8_e4m3fn,flydsl,196,3,8.4423,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x0x4x2_default_ks3,244.44,1996.01,0.0
gfx950,256,128,2624,6144,torch.float8_e4m3fn,flydsl,146,3,11.3155,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x0x0x2_default_ks3,364.74,1553.62,0.0
gfx950,256,256,2624,6144,torch.float8_e4m3fn,flydsl,1117,0,14.882,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x4x4x2_default,554.66,1279.28,0.0
gfx950,256,512,2624,6144,torch.float8_e4m3fn,flydsl,1734,0,20.8406,flydsl_bpreshuflle_64x64x256_F8_F8_B16_0x2x4x1_default,792.15,1053.45,0.0
gfx950,256,1024,2624,6144,torch.float8_e4m3fn,flydsl,2082,0,31.959,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x3x4x1_default,1033.12,869.47,0.0
gfx950,256,2048,2624,6144,torch.float8_e4m3fn,flydsl,1000005,0,47.1596,flydsl_bpreshuffle_8w_128x256x128_F8_F8_B16_2x8,1400.25,836.58,0.0
gfx950,256,4096,2624,6144,torch.float8_e4m3fn,flydsl,1000026,0,67.203,flydsl_bpreshuffle_8w_256x256x128_F8_F8_B16_1x8,1965.24,934.24,0.0
gfx950,256,8192,2624,6144,torch.float8_e4m3fn,flydsl,1000026,0,131.2915,flydsl_bpreshuffle_8w_256x256x128_F8_F8_B16_1x8,2011.86,833.6,0.0
gfx950,256,16384,2624,6144,torch.float8_e4m3fn,flydsl,1000034,0,213.6715,flydsl_bpreshuffle_8w_256x256x128_F8_F8_B16_4x4,2472.4,948.97,0.0
gfx950,256,32768,2624,6144,torch.float8_e4m3fn,flydsl,1000029,0,412.5825,flydsl_bpreshuffle_8w_256x256x128_F8_F8_B16_2x8,2560.85,943.85,0.0016
gfx950,256,1,2688,6144,torch.float8_e4m3fn,flydsl,961,6,6.8529,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x4x0x2_default_ks6,4.82,2411.62,0.0
gfx950,256,2,2688,6144,torch.float8_e4m3fn,flydsl,125,4,6.4069,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x2_default_ks4,10.31,2581.3,0.0
gfx950,256,4,2688,6144,torch.float8_e4m3fn,flydsl,249,6,6.6034,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x1x0x2_default_ks6,20.01,2507.97,0.0
gfx950,256,8,2688,6144,torch.float8_e4m3fn,flydsl,125,4,6.4758,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x2_default_ks4,40.8,2564.51,0.0
gfx950,256,16,2688,6144,torch.float8_e4m3fn,flydsl,849,4,6.8684,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x3x0x2_default_ks4,76.94,2431.34,0.0
