gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,2112,7168,torch.float8_e4m3fn,flydsl,617,7,7.3166,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x0x2_default_ks7,4.14,2070.66,0.0
gfx950,256,2,2112,7168,torch.float8_e4m3fn,flydsl,1059,7,7.4531,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x4x0x2_default_ks7,8.12,2034.27,0.0
gfx950,256,4,2112,7168,torch.float8_e4m3fn,flydsl,249,7,7.0448,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x1x0x2_default_ks7,17.19,2155.4,0.0
gfx950,256,8,2112,7168,torch.float8_e4m3fn,flydsl,961,7,7.3166,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x4x0x2_default_ks7,33.11,2081.56,0.0
gfx950,256,12,2112,7168,torch.float8_e4m3fn,flydsl,617,7,7.7125,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x0x2_default_ks7,47.11,1980.62,0.0
gfx950,256,16,2112,7168,torch.float8_e4m3fn,flydsl,1,7,7.4831,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x0x0x2_default_ks7,64.74,2047.43,0.0
gfx950,256,24,2112,7168,torch.float8_e4m3fn,flydsl,258,7,8.0538,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x1x0x2_default_ks7,90.23,1913.66,0.0
gfx950,256,32,2112,7168,torch.float8_e4m3fn,flydsl,506,7,8.404,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x2x0x2_default_ks7,115.29,1844.76,0.0
gfx950,256,40,2112,7168,torch.float8_e4m3fn,flydsl,905,7,9.3632,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x3x4x2_default_ks7,129.35,1665.51,0.0
gfx950,256,48,2112,7168,torch.float8_e4m3fn,flydsl,311,7,9.3142,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x1x4x2_default_ks7,156.03,1684.06,0.0
gfx950,256,56,2112,7168,torch.float8_e4m3fn,flydsl,686,7,9.7215,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x2x4x2_default_ks7,174.41,1622.87,0.0
gfx950,256,64,2112,7168,torch.float8_e4m3fn,flydsl,444,7,10.16,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x1x4x2_default_ks7,190.73,1561.8,0.0
gfx950,256,80,2112,7168,torch.float8_e4m3fn,flydsl,1218,4,11.1387,flydsl_bpreshuflle_16x64x256_F8_F8_B16_0x0x4x1_default_ks4,217.46,1440.94,0.0
gfx950,256,96,2112,7168,torch.float8_e4m3fn,flydsl,1019,2,10.6301,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x4x4x2_default_ks2,273.44,1527.03,0.0
gfx950,256,112,2112,7168,torch.float8_e4m3fn,ck,11,0,12.1248,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,279.68,1353.81,0.0
gfx950,256,128,2112,7168,torch.float8_e4m3fn,flydsl,566,2,12.2171,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x2x4x2_default_ks2,317.22,1358.51,0.0
gfx950,256,1,6336,7168,torch.float8_e4m3fn,flydsl,125,0,12.0313,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x2_default,7.55,3776.51,0.0
gfx950,256,2,6336,7168,torch.float8_e4m3fn,flydsl,249,2,10.9925,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x1x0x2_default_ks2,16.53,4135.19,0.0
gfx950,256,4,6336,7168,torch.float8_e4m3fn,flydsl,249,2,10.5699,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x1x0x2_default_ks2,34.37,4304.28,0.0
gfx950,256,8,6336,7168,torch.float8_e4m3fn,flydsl,737,2,10.72,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x3x0x2_default_ks2,67.79,4251.41,0.0
gfx950,256,16,6336,7168,torch.float8_e4m3fn,flydsl,737,2,11.2482,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x3x0x2_default_ks2,129.21,4065.89,0.0
gfx950,256,24,6336,7168,torch.float8_e4m3fn,flydsl,1108,0,13.4163,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x4x4x2_default,162.49,3420.66,0.0
gfx950,256,32,6336,7168,torch.float8_e4m3fn,flydsl,746,2,11.9173,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x3x0x2_default_ks2,243.9,3864.24,0.0
gfx950,256,40,6336,7168,torch.float8_e4m3fn,cktile,151,0,14.9131,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_32x64x512_1x4x1_16x16x128_default,243.63,3098.62,0.0
gfx950,256,56,6336,7168,torch.float8_e4m3fn,flydsl,444,0,14.6913,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x1x4x2_default,346.23,3167.01,0.0
gfx950,256,64,6336,7168,torch.float8_e4m3fn,flydsl,914,0,15.0527,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x3x4x2_default,386.2,3101.52,0.0
gfx950,256,1,7168,3584,torch.float8_e4m3fn,flydsl,125,0,8.0637,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x2_default,6.37,3188.12,0.0
gfx950,256,2,7168,3584,torch.float8_e4m3fn,ck,10,0,7.5534,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,13.6,3405.88,0.0
gfx950,256,4,7168,3584,torch.float8_e4m3fn,flydsl,617,0,7.6211,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x0x2_default,26.97,3380.32,0.0
gfx950,256,8,7168,3584,torch.float8_e4m3fn,flydsl,849,0,7.8481,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x3x0x2_default,52.37,3291.68,0.0
gfx950,256,12,7168,3584,torch.float8_e4m3fn,flydsl,617,0,8.1372,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x0x2_default,75.77,3183.55,0.0
gfx950,256,24,7168,3584,torch.float8_e4m3fn,flydsl,677,0,8.732,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x4x2_default,141.22,2991.32,0.0
gfx950,256,32,7168,3584,torch.float8_e4m3fn,flydsl,311,0,8.4693,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x1x4x2_default,194.13,3101.03,0.0
gfx950,256,56,7168,3584,torch.float8_e4m3fn,flydsl,1117,0,9.0747,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x4x4x2_default,317.07,2941.54,0.0
gfx950,256,64,7168,3584,torch.float8_e4m3fn,flydsl,1019,0,9.2027,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x4x4x2_default,357.32,2916.21,0.0
