M,N,K,q_dtype_w
6144,6144,4096,torch.float8_e4m3fn
6848,6144,4096,torch.float8_e4m3fn
4096,3072,4096,torch.float8_e4m3fn
6144,3072,4096,torch.float8_e4m3fn
6528,3072,4096,torch.float8_e4m3fn
6848,3072,4096,torch.float8_e4m3fn
7168,3072,4096,torch.float8_e4m3fn
7360,3072,4096,torch.float8_e4m3fn
7488,3072,4096,torch.float8_e4m3fn
7616,3072,4096,torch.float8_e4m3fn
7744,3072,4096,torch.float8_e4m3fn
7808,3072,4096,torch.float8_e4m3fn
7872,3072,4096,torch.float8_e4m3fn
7936,3072,4096,torch.float8_e4m3fn
8000,3072,4096,torch.float8_e4m3fn
8064,3072,4096,torch.float8_e4m3fn
8128,3072,4096,torch.float8_e4m3fn
8192,3072,4096,torch.float8_e4m3fn
8256,3072,4096,torch.float8_e4m3fn
16384,3072,4096,torch.float8_e4m3fn
