M,N,K,q_dtype_w
1,576,7168,torch.float8_e4m3fn
2,576,7168,torch.float8_e4m3fn
4,576,7168,torch.float8_e4m3fn
8,576,7168,torch.float8_e4m3fn
16,576,7168,torch.float8_e4m3fn
32,576,7168,torch.float8_e4m3fn
64,576,7168,torch.float8_e4m3fn
128,576,7168,torch.float8_e4m3fn
256,576,7168,torch.float8_e4m3fn
512,576,7168,torch.float8_e4m3fn
1024,576,7168,torch.float8_e4m3fn
2048,576,7168,torch.float8_e4m3fn
4096,576,7168,torch.float8_e4m3fn
8192,576,7168,torch.float8_e4m3fn
16384,576,7168,torch.float8_e4m3fn
32768,576,7168,torch.float8_e4m3fn
1,1536,128,torch.float8_e4m3fn
2,1536,128,torch.float8_e4m3fn
4,1536,128,torch.float8_e4m3fn
8,1536,128,torch.float8_e4m3fn
16,1536,128,torch.float8_e4m3fn
32,1536,128,torch.float8_e4m3fn
64,1536,128,torch.float8_e4m3fn
128,1536,128,torch.float8_e4m3fn
256,1536,128,torch.float8_e4m3fn
512,1536,128,torch.float8_e4m3fn
1024,1536,128,torch.float8_e4m3fn
2048,1536,128,torch.float8_e4m3fn
4096,1536,128,torch.float8_e4m3fn
8192,1536,128,torch.float8_e4m3fn
16384,1536,128,torch.float8_e4m3fn
32768,1536,128,torch.float8_e4m3fn
1,1536,7168,torch.float8_e4m3fn
2,1536,7168,torch.float8_e4m3fn
4,1536,7168,torch.float8_e4m3fn
8,1536,7168,torch.float8_e4m3fn
16,1536,7168,torch.float8_e4m3fn
32,1536,7168,torch.float8_e4m3fn
64,1536,7168,torch.float8_e4m3fn
128,1536,7168,torch.float8_e4m3fn
256,1536,7168,torch.float8_e4m3fn
512,1536,7168,torch.float8_e4m3fn
1024,1536,7168,torch.float8_e4m3fn
2048,1536,7168,torch.float8_e4m3fn
4096,1536,7168,torch.float8_e4m3fn
8192,1536,7168,torch.float8_e4m3fn
16384,1536,7168,torch.float8_e4m3fn
32768,1536,7168,torch.float8_e4m3fn
1,2304,1536,torch.float8_e4m3fn
2,2304,1536,torch.float8_e4m3fn
4,2304,1536,torch.float8_e4m3fn
8,2304,1536,torch.float8_e4m3fn
16,2304,1536,torch.float8_e4m3fn
32,2304,1536,torch.float8_e4m3fn
64,2304,1536,torch.float8_e4m3fn
128,2304,1536,torch.float8_e4m3fn
256,2304,1536,torch.float8_e4m3fn
512,2304,1536,torch.float8_e4m3fn
1024,2304,1536,torch.float8_e4m3fn
2048,2304,1536,torch.float8_e4m3fn
4096,2304,1536,torch.float8_e4m3fn
8192,2304,1536,torch.float8_e4m3fn
16384,2304,1536,torch.float8_e4m3fn
32768,2304,1536,torch.float8_e4m3fn
1,3072,512,torch.float8_e4m3fn
2,3072,512,torch.float8_e4m3fn
4,3072,512,torch.float8_e4m3fn
8,3072,512,torch.float8_e4m3fn
16,3072,512,torch.float8_e4m3fn
32,3072,512,torch.float8_e4m3fn
64,3072,512,torch.float8_e4m3fn
128,3072,512,torch.float8_e4m3fn
256,3072,512,torch.float8_e4m3fn
512,3072,512,torch.float8_e4m3fn
1024,3072,512,torch.float8_e4m3fn
2048,3072,512,torch.float8_e4m3fn
4096,3072,512,torch.float8_e4m3fn
8192,3072,512,torch.float8_e4m3fn
16384,3072,512,torch.float8_e4m3fn
32768,3072,512,torch.float8_e4m3fn
1,6400,7168,torch.float8_e4m3fn
2,6400,7168,torch.float8_e4m3fn
4,6400,7168,torch.float8_e4m3fn
8,6400,7168,torch.float8_e4m3fn
16,6400,7168,torch.float8_e4m3fn
32,6400,7168,torch.float8_e4m3fn
64,6400,7168,torch.float8_e4m3fn
128,6400,7168,torch.float8_e4m3fn
256,6400,7168,torch.float8_e4m3fn
512,6400,7168,torch.float8_e4m3fn
1024,6400,7168,torch.float8_e4m3fn
2048,6400,7168,torch.float8_e4m3fn
4096,6400,7168,torch.float8_e4m3fn
8192,6400,7168,torch.float8_e4m3fn
16384,6400,7168,torch.float8_e4m3fn
32768,6400,7168,torch.float8_e4m3fn
1,7168,768,torch.float8_e4m3fn
2,7168,768,torch.float8_e4m3fn
4,7168,768,torch.float8_e4m3fn
8,7168,768,torch.float8_e4m3fn
16,7168,768,torch.float8_e4m3fn
32,7168,768,torch.float8_e4m3fn
64,7168,768,torch.float8_e4m3fn
128,7168,768,torch.float8_e4m3fn
256,7168,768,torch.float8_e4m3fn
512,7168,768,torch.float8_e4m3fn
1024,7168,768,torch.float8_e4m3fn
2048,7168,768,torch.float8_e4m3fn
4096,7168,768,torch.float8_e4m3fn
8192,7168,768,torch.float8_e4m3fn
16384,7168,768,torch.float8_e4m3fn
32768,7168,768,torch.float8_e4m3fn
1,7168,1536,torch.float8_e4m3fn
2,7168,1536,torch.float8_e4m3fn
4,7168,1536,torch.float8_e4m3fn
8,7168,1536,torch.float8_e4m3fn
16,7168,1536,torch.float8_e4m3fn
32,7168,1536,torch.float8_e4m3fn
64,7168,1536,torch.float8_e4m3fn
128,7168,1536,torch.float8_e4m3fn
256,7168,1536,torch.float8_e4m3fn
512,7168,1536,torch.float8_e4m3fn
1024,7168,1536,torch.float8_e4m3fn
2048,7168,1536,torch.float8_e4m3fn
4096,7168,1536,torch.float8_e4m3fn
8192,7168,1536,torch.float8_e4m3fn
16384,7168,1536,torch.float8_e4m3fn
32768,7168,1536,torch.float8_e4m3fn
1,7168,4224,torch.float8_e4m3fn
2,7168,4224,torch.float8_e4m3fn
4,7168,4224,torch.float8_e4m3fn
