gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,768,7168,ck,8,0,23.0552,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.48,239.15,0.0
gfx950,256,2,768,7168,ck,8,0,22.8288,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.96,241.91,0.0
gfx950,256,4,768,7168,ck,8,0,22.9204,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.92,241.7,0.0
gfx950,256,8,768,7168,ck,8,0,23.0749,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.82,241.59,0.0
gfx950,256,16,768,7168,ck,8,0,21.849,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.06,258.33,0.0
gfx950,256,32,768,7168,ck,8,0,22.3732,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,15.75,258.5,0.0
gfx950,256,48,768,7168,ck,8,0,21.9747,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,24.05,269.53,0.0
gfx950,256,64,768,7168,ck,8,0,22.1512,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,31.81,273.67,0.0
gfx950,256,80,768,7168,ck,8,0,21.8966,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,40.23,283.21,0.0
gfx950,256,96,768,7168,ck,8,0,22.0233,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,47.99,287.9,0.0
gfx950,256,112,768,7168,ck,8,0,21.829,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,56.49,296.85,0.0
gfx950,256,128,768,7168,ck,8,0,21.858,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,64.47,302.82,0.0
gfx950,256,144,768,7168,ck,8,0,22.0432,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,71.92,306.6,0.0
gfx950,256,160,768,7168,ck,8,0,21.9465,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,80.27,314.29,0.0
gfx950,256,176,768,7168,ck,8,0,21.96,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,88.24,320.44,0.0
gfx950,256,192,768,7168,ck,8,0,22.0991,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,95.66,324.73,0.0
gfx950,256,208,768,7168,ck,8,0,21.9459,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,104.35,333.34,0.0
gfx950,256,224,768,7168,ck,8,0,22.1259,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,111.46,336.92,0.0
gfx950,256,240,768,7168,ck,8,0,22.3339,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,118.31,340.02,0.0
gfx950,256,256,768,7168,ck,8,0,22.1818,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,127.07,348.63,0.0
gfx950,256,288,768,7168,ck,8,0,22.1902,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,142.9,361.05,0.0
gfx950,256,320,768,7168,ck,8,0,22.5695,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,156.11,367.32,0.0
gfx950,256,352,768,7168,ck,7,0,28.2907,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,136.99,302.89,0.0
gfx950,256,384,768,7168,ck,18,0,27.7271,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,152.48,319.09,0.0
gfx950,256,416,768,7168,ck,13,0,28.4687,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,160.88,320.56,0.0
gfx950,256,448,768,7168,ck,18,0,27.6439,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,178.43,340.2,0.0
gfx950,256,480,768,7168,ck,7,0,28.7038,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,184.12,337.34,0.0
gfx950,256,512,768,7168,ck,18,0,27.8256,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,202.59,358.0,0.0
gfx950,256,544,768,7168,ck,13,0,28.7821,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,208.1,355.78,0.0
gfx950,256,576,768,7168,ck,18,0,28.0516,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,226.08,374.97,0.0
gfx950,256,608,768,7168,ck,7,0,28.563,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,234.36,378.01,0.0
gfx950,256,640,768,7168,ck,18,0,27.9635,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,251.99,396.07,0.0
gfx950,256,672,768,7168,ck,13,0,28.3914,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,260.6,399.91,0.0
gfx950,256,704,768,7168,ck,18,0,28.1512,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,275.34,413.22,0.0
gfx950,256,736,768,7168,ck,18,0,29.5433,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,274.29,403.18,0.0
gfx950,256,768,768,7168,ck,18,0,27.9767,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,302.24,435.71,0.0
gfx950,256,800,768,7168,ck,18,0,29.7758,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,295.81,418.74,0.0
gfx950,256,832,768,7168,ck,18,0,28.317,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,323.49,450.14,0.0
gfx950,256,864,768,7168,ck,18,0,29.8704,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,318.47,436.06,0.0
gfx950,256,896,768,7168,ck,18,0,28.4702,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,346.5,467.29,0.0
gfx950,256,928,768,7168,ck,18,0,30.0683,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,339.8,451.72,0.0
gfx950,256,960,768,7168,ck,18,0,28.9105,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,365.6,479.44,0.0
gfx950,256,992,768,7168,ck,18,0,30.0085,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,363.96,471.18,0.0
gfx950,256,1024,768,7168,ck,18,0,28.9693,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,389.18,497.7,0.0
gfx950,256,1088,768,7168,ck,18,0,29.198,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,410.27,512.88,0.0
gfx950,256,1152,768,7168,ck,18,0,29.67,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,427.49,523.49,0.0
