gfx,b,m,n,k,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx1250,1,8192,1024,4096,flydsl,-1,1,24.214,flydsl_bmm_mxfp8_128_wmma_t256x128x256_mw4_nw1_nb3_sk1_cm1_cn1_pre,2838.0,2262.67,0.0025
gfx1250,1,16384,1024,4096,flydsl,-1,1,34.078,flydsl_bmm_mxfp8_128_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,4033.1,3092.38,0.0051
gfx1250,2,8192,1024,4096,flydsl,-1,1,35.834,flydsl_bmm_mxfp8_128_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,3835.4,3057.9,0.0056
gfx1250,2,16384,1024,4096,flydsl,-1,1,60.632,flydsl_bmm_mxfp8_128_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1_pre,4533.5,3476.12,0.0038
gfx1250,4,4096,1024,4096,flydsl,-1,1,37.22,flydsl_bmm_mxfp8_128_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1_pre,3692.6,3169.42,0.005
gfx1250,4,8192,1024,4096,flydsl,-1,1,64.496,flydsl_bmm_mxfp8_128_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1_pre,4261.9,3397.94,0.0058
gfx1250,4,16384,1024,4096,flydsl,-1,1,121.983,flydsl_bmm_mxfp8_128_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1_pre,4506.8,3455.63,0.004
gfx1250,8,512,1024,4096,flydsl,-1,1,16.623,flydsl_bmm_mxfp8_128_wmma_t128x128x256_mw2_nw2_nb3_sk1_cm1_cn1_pre,2067.0,3540.48,0.0048
gfx1250,8,2048,1024,4096,flydsl,-1,1,38.207,flydsl_bmm_mxfp8_128_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1_pre,3597.2,3526.69,0.0037
gfx1250,8,4096,1024,4096,flydsl,-1,1,64.448,flydsl_bmm_mxfp8_128_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1_pre,4265.1,3660.81,0.0027
gfx1250,8,8192,1024,4096,flydsl,-1,1,124.617,flydsl_bmm_mxfp8_128_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1_pre,4411.6,3517.23,0.005
gfx1250,8,16384,1024,4096,flydsl,-1,1,242.032,flydsl_bmm_mxfp8_128_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1_pre,4542.8,3483.25,0.0037
gfx1250,16,32,1024,4096,flydsl,-1,1,8.083,flydsl_bmm_mxfp8_128_wmma_t32x64x512_mw2_nw2_nb3_sk1_cm1_cn1,531.4,8694.18,0.0043
gfx1250,16,256,1024,4096,flydsl,-1,1,16.984,flydsl_bmm_mxfp8_128_wmma_t128x128x256_mw2_nw2_nb3_sk1_cm1_cn1_pre,2023.1,5440.99,0.0032
gfx1250,16,512,1024,4096,flydsl,-1,1,24.8,flydsl_bmm_mxfp8_128_wmma_t128x256x128_mw2_nw2_nb4_sk1_cm1_cn1_pre,2770.9,4746.24,0.005
gfx1250,16,1024,1024,4096,flydsl,-1,1,46.08,flydsl_bmm_mxfp8_128_wmma_t128x512x128_mw1_nw4_nb3_sk1_cm1_cn1,2982.6,3652.36,0.0041
gfx1250,16,2048,1024,4096,flydsl,-1,1,65.184,flydsl_bmm_mxfp8_128_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1_pre,4217.0,4134.27,0.0042
gfx1250,16,4096,1024,4096,flydsl,-1,1,129.101,flydsl_bmm_mxfp8_128_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1_pre,4258.3,3654.99,0.0037
gfx1250,16,8192,1024,4096,flydsl,-1,1,245.059,flydsl_bmm_mxfp8_128_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1_pre,4486.7,3577.15,0.0047
gfx1250,16,16384,1024,4096,flydsl,-1,1,485.148,flydsl_bmm_mxfp8_128_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1_pre,4532.7,3475.46,0.0046
