gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,10.8938,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_kw4_fp8,0.0%,5.1548,flydsl_moe2_layout_afp8_wfp4_bf16_t32x128x128_atomic_nt_sbm32,0.0%,16.0487,0,0,0,8.23,263440.65,
gfx950,256,2,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,14.4075,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_kw4_fp8,0.0%,5.5423,flydsl_moe2_layout_afp8_wfp4_bf16_t32x128x128_atomic_sbm32,0.0%,19.9498,0,0,0,13.24,211927.01,
gfx950,256,4,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,18.454,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_xcd4_kw2_fp8,0.0%,10.5276,flydsl_moe2_layout_afp8_wfp4_bf16_t32x256x128_atomic_nt_sbm32,0.0%,28.9816,0,0,0,18.23,145883.75,
gfx950,256,8,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,28.3004,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_fp8,0.0%,16.9802,flydsl_moe2_layout_afp8_wfp4_bf16_t32x128x128_atomic_nt_sbm32,0.0%,45.2806,0,0,0,23.34,93374.0,
gfx950,256,16,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,57.4395,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,0.0%,34.6257,flydsl_moe2_layout_afp8_wfp4_bf16_t32x256x128_reduce_nt_sbm32,0.0%,92.0652,0,0,0,22.96,45926.18,
gfx950,256,32,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,113.5411,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,0.0%,58.5532,flydsl_moe2_layout_afp8_wfp4_bf16_t32x256x256_atomic_nt_sbm32,0.0%,172.0943,0,0,0,24.57,24571.11,
gfx950,256,64,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,215.0893,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,111.1095,flydsl_moe2_layout_afp8_wfp4_bf16_t32x256x256_atomic_nt_sbm32,0.0%,326.1988,0,0,0,25.92,12965.21,
gfx950,256,128,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,227.2285,flydsl_moe1_afp8_wfp4_bf16_t64x128x256_w2_gui_fp8,0.0%,117.4355,opus_moe2_afp8_wfp4_fp8_t64x256x256_sbm64_rbn3584,0.0%,344.664,0,0,49.07,12274.59,,
gfx950,256,256,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,222.721,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,122.8717,flydsl_moe2_layout_afp8_wfp4_bf16_t32x256x256_atomic_nt_sbm32,0.0%,345.5927,0,0,0,97.86,12249.57,
gfx950,256,512,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,222.705,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,0.0%,118.3831,opus_moe2_afp8_wfp4_fp8_t32x256x256_sbm32_occ5_rbn2304,0.0%,341.0881,0,0,198.32,12427.49,,
