gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx1250,96,1,18432,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,60.9554,native,0.0,3.72,3716.51
gfx1250,96,1,36864,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,128.7791,native,0.0,3.52,3518.20
gfx1250,96,512,36864,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,494.2028,auto,0.0,469.30,1005.71
gfx1250,96,512,6144,15360,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,341.5440,auto,0.0,282.94,617.09
gfx1250,96,512,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,243.7013,auto,0.0,475.85,1032.65
gfx1250,96,512,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,97.3679,auto,0.0,397.00,904.61
gfx1250,96,1024,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,34.6660,native,0.0,46.46,415.91
gfx1250,96,1024,36864,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,782.5129,auto,0.0,592.78,691.45
gfx1250,96,1024,6144,128,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,39.8437,native,0.0,40.42,361.86
gfx1250,96,1024,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,441.9144,auto,0.0,524.83,626.42
gfx1250,96,1024,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,148.5026,auto,0.0,520.59,677.86
gfx1250,96,1536,55296,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,1784.7193,auto,0.0,584.78,486.47
gfx1250,96,1536,6144,24576,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,875.2379,auto,0.0,529.98,452.86
gfx1250,96,4096,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,76.9794,auto,0.0,83.69,687.89
gfx1250,96,4096,36864,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,3065.1705,auto,0.0,605.33,262.73
gfx1250,96,4096,6144,128,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,77.1136,auto,0.0,83.54,686.69
gfx1250,96,4096,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,1528.2608,auto,0.0,607.04,279.94
gfx1250,96,4096,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,518.1767,auto,0.0,596.78,339.96
gfx1250,96,4608,55296,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,5107.0831,auto,0.0,613.08,243.92
gfx1250,96,4608,6144,24576,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,2485.0147,auto,0.0,559.98,235.45
gfx1250,96,16384,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,109.7685,auto,0.0,234.76,1886.64
gfx1250,96,16384,36864,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,12784.9678,auto,0.0,580.50,145.66
gfx1250,96,16384,6144,128,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,194.4275,auto,0.0,132.54,1065.15
gfx1250,96,16384,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,6294.2268,auto,0.0,589.56,163.93
gfx1250,96,16384,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,2134.2110,auto,0.0,579.58,224.04
gfx1250,96,16896,55296,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,19781.6559,auto,0.0,580.36,139.30
gfx1250,96,16896,6144,24576,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8853.8658,auto,0.0,576.29,151.36
