gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,128,6144,ck,7,0,10.229,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.15,77.51,0.0
gfx950,256,2,128,6144,ck,7,0,10.0576,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.31,79.47,0.0
gfx950,256,4,128,6144,ck,7,0,10.1416,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.62,80.07,0.0
gfx950,256,8,128,6144,ck,7,0,10.5937,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.19,79.07,0.0
gfx950,256,16,128,6144,ck,7,0,10.2885,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.45,86.39,0.0
gfx950,256,32,128,6144,ck,7,0,9.8484,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.11,100.65,0.0
gfx950,256,48,128,6144,ck,7,0,9.7423,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.75,112.26,0.0
gfx950,256,64,128,6144,ck,7,0,10.3252,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.75,115.84,0.0
gfx950,256,128,128,6144,ck,7,0,10.6055,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,18.98,151.4,0.0
gfx950,256,256,128,6144,ck,7,0,11.7011,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,34.41,207.23,0.0
gfx950,256,512,128,6144,ck,7,0,14.8179,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,54.35,274.21,0.0
gfx950,256,1024,128,6144,ck,7,0,15.3151,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,105.17,479.27,0.0
gfx950,256,2048,128,6144,ck,7,0,14.9456,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,215.53,929.61,0.0
gfx950,256,4096,128,6144,ck,12,0,16.2952,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,395.36,1656.98,0.0
gfx950,256,8192,128,6144,ck,17,0,20.3201,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,634.1,2618.85,0.0
gfx950,256,16384,128,6144,ck,17,0,35.0789,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,734.62,3011.61,0.0
gfx950,256,1,2624,6144,ck,7,0,17.0117,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.9,948.36,0.0
gfx950,256,2,2624,6144,ck,7,0,16.8584,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.83,957.66,0.0
gfx950,256,4,2624,6144,ck,7,0,17.3416,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.44,932.29,0.0
gfx950,256,8,2624,6144,ck,7,0,17.3829,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,14.84,932.7,0.0
gfx950,256,16,2624,6144,ck,7,0,15.5025,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,33.28,1051.71,0.0
gfx950,256,32,2624,6144,ck,7,0,15.5856,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,66.2,1057.8,0.0
gfx950,256,48,2624,6144,ck,7,0,15.1016,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,102.49,1103.77,0.0
gfx950,256,64,2624,6144,ck,7,0,15.0601,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,137.02,1118.91,0.0
gfx950,256,128,2624,6144,ck,12,0,16.4056,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,251.57,1071.59,0.0
gfx950,256,256,2624,6144,ck,17,0,18.765,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,439.88,1014.56,0.0
gfx950,256,512,2624,6144,ck,17,0,28.3073,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,583.2,775.58,0.0
gfx950,256,1024,2624,6144,ck,15,0,41.707,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,791.66,666.25,0.0127
gfx950,256,2048,2624,6144,cktile,27,0,75.9502,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,869.45,519.45,0.0
gfx950,256,4096,2624,6144,cktile,28,0,83.0256,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,1590.72,756.19,0.0
gfx950,256,8192,2624,6144,cktile,11,0,160.8269,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1642.39,680.52,0.0
gfx950,256,16384,2624,6144,cktile,11,0,309.3895,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1707.49,655.38,0.0
gfx950,256,1,3072,6144,ck,7,0,16.977,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.22,1112.48,0.0
gfx950,256,2,3072,6144,ck,7,0,17.362,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.35,1088.52,0.0
gfx950,256,4,3072,6144,ck,7,0,17.4624,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.65,1083.67,0.0
gfx950,256,8,3072,6144,ck,7,0,17.2502,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,17.51,1099.85,0.0
gfx950,256,16,3072,6144,ck,7,0,15.612,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,38.69,1221.56,0.0
gfx950,256,32,3072,6144,ck,7,0,15.6472,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,77.2,1231.38,0.0
gfx950,256,48,3072,6144,ck,7,0,15.5615,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,116.44,1250.79,0.0
gfx950,256,64,3072,6144,ck,7,0,15.5445,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,155.42,1264.81,0.0
gfx950,256,128,3072,6144,ck,12,0,16.6159,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,290.8,1230.58,0.0
gfx950,256,256,3072,6144,ck,17,0,19.217,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,502.87,1145.87,0.0
gfx950,256,512,3072,6144,ck,17,0,28.6558,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,674.47,878.21,0.0
gfx950,256,1024,3072,6144,ck,14,0,41.032,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,942.06,766.65,0.0001
gfx950,256,2048,3072,6144,ck,13,0,63.463,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1218.18,693.95,0.0
gfx950,256,4096,3072,6144,ck,13,0,100.7871,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1534.11,686.66,0.0
gfx950,256,8192,3072,6144,ck,13,0,182.1825,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1697.41,656.14,0.0
gfx950,256,16384,3072,6144,cktile,11,0,334.1006,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1851.16,659.09,0.0
gfx950,256,1,3584,512,ck,6,0,3.2478,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,1.13,567.36,0.0
gfx950,256,2,3584,512,ck,7,0,3.0064,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.44,615.48,0.0
gfx950,256,4,3584,512,ck,6,0,3.3027,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,4.44,564.91,0.0
gfx950,256,8,3584,512,ck,7,0,3.5929,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.17,527.83,0.0
gfx950,256,16,3584,512,ck,6,0,3.3578,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,17.49,583.09,0.0
gfx950,256,32,3584,512,ck,12,0,3.4342,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,34.2,605.9,0.0
gfx950,256,48,3584,512,ck,5,0,3.8924,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,45.26,566.14,0.0
gfx950,256,64,3584,512,ck,7,0,3.3788,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,69.52,688.57,0.0
gfx950,256,128,3584,512,ck,7,0,3.9047,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,120.31,721.71,0.0
gfx950,256,256,3584,512,ck,11,0,4.6357,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,202.67,819.96,0.0
gfx950,256,512,3584,512,ck,16,0,5.9296,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,316.89,972.61,0.0
gfx950,256,1024,3584,512,ck,14,0,8.4491,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,444.79,1147.97,0.0
gfx950,256,2048,3584,512,ck,9,0,13.2647,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,566.63,1324.09,0.0005
gfx950,256,4096,3584,512,ck,16,0,21.0249,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,714.98,1583.47,0.0
gfx950,256,8192,3584,512,ck,16,0,37.8785,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,793.72,1709.4,0.0
gfx950,256,16384,3584,512,ck,16,0,67.628,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,889.12,1887.74,0.0
gfx950,256,2,6144,1536,ck,7,0,6.7452,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.6,1403.2,0.0
gfx950,256,4,6144,1536,ck,7,0,6.5478,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.53,1449.72,0.0
gfx950,256,8,6144,1536,ck,7,0,6.5386,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,23.09,1460.22,0.0
gfx950,256,16,6144,1536,ck,7,0,6.5494,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,46.11,1474.7,0.0
gfx950,256,32,6144,1536,ck,7,0,6.4059,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,94.28,1542.26,0.0
gfx950,256,48,6144,1536,ck,6,0,6.6653,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,135.92,1515.42,0.0
gfx950,256,64,6144,1536,ck,12,0,6.7173,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,179.83,1536.62,0.0
gfx950,256,128,6144,1536,ck,11,0,8.7179,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,277.12,1285.48,0.0
gfx950,256,256,6144,1536,ck,12,0,10.3453,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,467.06,1254.3,0.0
gfx950,256,512,6144,1536,ck,15,0,14.5306,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,665.06,1136.57,0.0122
gfx950,256,1024,6144,1536,ck,14,0,20.896,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,924.93,1129.07,0.0002
gfx950,256,2048,6144,1536,ck,13,0,37.4058,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1033.39,1009.17,0.0
gfx950,256,4096,6144,1536,ck,13,0,62.9487,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1228.13,1049.43,0.0
gfx950,256,8192,6144,1536,ck,13,0,114.464,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1350.81,1071.81,0.0
gfx950,256,16384,6144,1536,ck,13,0,211.6928,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1460.78,1114.49,0.0
gfx942,80,1,2048,2048,ck,7,0,6.9254,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.21,606.53,0.0
gfx942,80,2,2048,2048,ck,7,0,6.901,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.43,609.56,0.0
gfx942,80,4,2048,2048,ck,7,0,6.9214,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.85,609.54,0.0
gfx942,80,8,2048,2048,ck,7,0,6.9466,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.66,610.87,0.0
gfx942,80,16,2048,2048,ck,7,0,6.5546,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.48,654.9,0.0
gfx942,80,24,2048,2048,ck,7,0,7.3462,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,27.41,591.02,0.0
gfx942,80,32,2048,2048,ck,7,0,6.8906,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,38.96,637.23,0.0
gfx942,80,48,2048,2048,ck,7,0,7.6538,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,52.61,586.53,0.0
gfx942,80,64,2048,2048,ck,7,0,8.1042,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,66.25,566.07,0.0
gfx942,80,96,2048,2048,ck,7,0,9.7598,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,82.51,490.19,0.0
gfx942,80,128,2048,2048,ck,12,0,10.2514,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,104.74,485.86,0.0
gfx942,80,192,2048,2048,asm,1,1,11.447,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,140.7,469.46,0.0
gfx942,80,256,2048,2048,asm,2,1,13.3061,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,161.39,433.42,0.0
gfx942,80,384,2048,2048,asm,3,1,16.069,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,200.46,407.84,0.0
gfx942,80,512,2048,2048,asm,5,1,21.6072,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,198.77,339.7,0.0
gfx942,80,768,2048,2048,asm,3,1,28.4093,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,226.77,313.73,0.0
gfx942,80,1024,2048,2048,ck,13,0,38.601,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,222.53,271.64,0.0
gfx942,80,1536,2048,2048,ck,14,0,47.3273,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,272.25,288.03,0.0
gfx942,80,2048,2048,2048,ck,14,0,62.6216,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,274.34,267.91,0.0
gfx942,80,3072,2048,2048,ck,13,0,84.7939,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,303.91,272.06,0.0
gfx942,80,4096,2048,2048,ck,14,0,110.8174,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,310.06,264.94,0.0
gfx942,80,8192,2048,2048,ck,13,0,210.5945,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,326.31,258.91,0.0
gfx942,80,16384,2048,2048,ck,13,0,410.7178,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,334.63,255.3,0.0
gfx942,80,32768,2048,2048,ck,13,0,808.2862,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,340.07,254.27,0.0
gfx942,80,1,2624,6144,ck,7,0,15.7081,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.05,1027.07,0.0
gfx942,80,2,2624,6144,ck,7,0,15.9531,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.04,1012.01,0.0
gfx942,80,4,2624,6144,ck,7,0,15.7332,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.2,1027.6,0.0
gfx942,80,8,2624,6144,ck,7,0,15.6933,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16.44,1033.12,0.0
gfx942,80,16,2624,6144,ck,7,0,13.767,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,37.47,1184.29,0.0
gfx942,80,24,2624,6144,ck,7,0,17.5179,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,44.17,935.91,0.0
gfx942,80,32,2624,6144,ck,12,0,15.5209,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,66.48,1062.21,0.0
gfx942,80,48,2624,6144,ck,7,0,17.24,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,89.77,966.86,0.0
gfx942,80,64,2624,6144,ck,12,0,21.673,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,95.22,777.51,0.0
gfx942,80,96,2624,6144,ck,12,0,22.368,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,138.39,769.65,0.0
gfx942,80,128,2624,6144,ck,10,0,28.0438,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,147.17,626.88,0.0
gfx942,80,192,2624,6144,ck,17,0,35.4305,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,174.73,516.76,0.0
gfx942,80,256,2624,6144,ck,12,0,46.3556,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,178.07,410.7,0.0
gfx942,80,384,2624,6144,ck,12,0,62.4788,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,198.17,328.05,0.0
