M,N,K
1,2048,2048
1,2624,6144
1,3072,6144
1,4096,2048
1,6144,1536
1,6144,2048
2,2048,2048
2,2624,6144
2,3072,6144
2,4096,2048
2,6144,1536
2,6144,2048
4,2048,2048
4,2624,6144
4,3072,6144
4,4096,2048
4,6144,1536
4,6144,2048
8,2048,2048
8,2624,6144
8,3072,6144
8,4096,2048
8,6144,1536
8,6144,2048
16,2048,2048
16,2624,6144
16,3072,6144
16,4096,2048
16,6144,1536
16,6144,2048
24,2048,2048
24,2624,6144
24,3072,6144
24,4096,2048
24,6144,1536
24,6144,2048
32,2048,2048
32,2624,6144
32,3072,6144
32,4096,2048
32,6144,1536
32,6144,2048
48,2048,2048
48,2624,6144
48,3072,6144
48,4096,2048
48,6144,1536
48,6144,2048
64,2048,2048
64,2624,6144
64,3072,6144
64,4096,2048
64,6144,1536
64,6144,2048
96,2048,2048
96,2624,6144
96,3072,6144
96,4096,2048
96,6144,1536
96,6144,2048
128,2048,2048
128,2624,6144
128,3072,6144
128,4096,2048
128,6144,1536
128,6144,2048
192,2048,2048
192,2624,6144
192,3072,6144
192,4096,2048
192,6144,1536
192,6144,2048
256,2048,2048
256,2624,6144
256,3072,6144
256,4096,2048
256,6144,1536
256,6144,2048
384,2048,2048
384,2624,6144
384,3072,6144
384,4096,2048
384,6144,1536
384,6144,2048
512,2048,2048
512,2624,6144
512,3072,6144
512,4096,2048
512,6144,1536
512,6144,2048
768,2048,2048
768,2624,6144
768,3072,6144
768,4096,2048
768,6144,1536
768,6144,2048
1024,2048,2048
1024,2624,6144
1024,3072,6144
1024,4096,2048
1024,6144,1536
1024,6144,2048
1536,2048,2048
1536,2624,6144
1536,3072,6144
1536,4096,2048
1536,6144,1536
1536,6144,2048
2048,2048,2048
2048,2624,6144
2048,3072,6144
2048,4096,2048
2048,6144,1536
2048,6144,2048
3072,2048,2048
3072,2624,6144
3072,3072,6144
3072,4096,2048
3072,6144,1536
3072,6144,2048
4096,2048,2048
4096,2624,6144
4096,3072,6144
4096,4096,2048
4096,6144,1536
4096,6144,2048
8192,2048,2048
8192,2624,6144
8192,3072,6144
8192,4096,2048
8192,6144,1536
8192,6144,2048
16384,2048,2048
16384,2624,6144
16384,3072,6144
16384,4096,2048
16384,6144,1536
16384,6144,2048
32768,2048,2048
32768,2624,6144
32768,3072,6144
32768,4096,2048
32768,6144,1536
32768,6144,2048
