gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,1,2048,2048,torch.float8_e4m3fnuz,cktile,2,0,5.3358,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default,1.57,787.22,0.0
gfx942,80,2,2048,2048,torch.float8_e4m3fnuz,cktile,2,0,5.3846,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default,3.12,781.23,0.0
gfx942,80,4,2048,2048,torch.float8_e4m3fnuz,cktile,2,0,5.4106,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default,6.2,779.74,0.0
gfx942,80,8,2048,2048,torch.float8_e4m3fnuz,cktile,144,0,5.4958,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_16x64x512_1x4x1_16x16x64_default,12.21,772.13,0.0
gfx942,80,16,2048,2048,torch.float8_e4m3fnuz,ck,11,0,5.1194,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,26.22,838.5,0.0
gfx942,80,24,2048,2048,torch.float8_e4m3fnuz,ck,25,0,5.9958,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v2,33.58,724.13,0.0
gfx942,80,32,2048,2048,torch.float8_e4m3fnuz,ck,11,0,5.4066,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,49.65,812.14,0.0
gfx942,80,48,2048,2048,torch.float8_e4m3fnuz,cktile,157,0,6.671,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_32x64x512_1x4x1_16x16x64_default,60.36,672.94,0.0
gfx942,80,64,2048,2048,torch.float8_e4m3fnuz,cktile,37,0,6.7982,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_32x64x512_1x4x1_16x16x64_default,78.97,674.81,0.0
gfx942,80,96,2048,2048,torch.float8_e4m3fnuz,cktile,9,0,7.9176,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x64x512_1x4x1_16x16x64_default,101.71,604.24,0.0
gfx942,80,128,2048,2048,torch.float8_e4m3fnuz,ck,112,0,8.7846,a8w8_bpreshuffle_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v1,122.23,566.98,0.0
gfx942,80,192,2048,2048,torch.float8_e4m3fnuz,cktile,116,0,11.0742,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_48x64x256_1x4x1_16x16x64_default,145.44,485.27,0.0
gfx942,80,256,2048,2048,torch.float8_e4m3fnuz,ck,114,0,12.417,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,172.95,464.46,0.0
gfx942,80,384,2048,2048,torch.float8_e4m3fnuz,ck,123,0,15.6386,a8w8_bpreshuffle_256x96x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,205.98,419.07,0.0
gfx942,80,512,2048,2048,torch.float8_e4m3fnuz,ck,121,0,18.1754,a8w8_bpreshuffle_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,236.31,403.84,0.0
gfx942,80,768,2048,2048,torch.float8_e4m3fnuz,ck,136,0,24.0702,a8w8_bpreshuffle_256x80x256x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,267.65,370.29,0.0
gfx942,80,1024,2048,2048,torch.float8_e4m3fnuz,ck,70,0,31.1304,a8w8_bpreshuffle_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,275.93,336.83,0.0
gfx942,80,1536,2048,2048,torch.float8_e4m3fnuz,ck,85,0,39.6437,a8w8_bpreshuffle_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,325.02,343.85,0.0
gfx942,80,2048,2048,2048,torch.float8_e4m3fnuz,ck,85,0,54.1244,a8w8_bpreshuffle_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,317.41,309.98,0.0
gfx942,80,3072,2048,2048,torch.float8_e4m3fnuz,ck,85,0,69.9818,a8w8_bpreshuffle_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,368.24,329.64,0.0
gfx942,80,4096,2048,2048,torch.float8_e4m3fnuz,cktile,18,0,92.6586,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x128x128_1x4x1_16x16x64_default,370.82,316.86,0.0
gfx942,80,8192,2048,2048,torch.float8_e4m3fnuz,cktile,48,0,168.1505,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x128_1x4x1_16x16x64_default,408.68,324.27,0.0
gfx942,80,16384,2048,2048,torch.float8_e4m3fnuz,cktile,48,0,324.1177,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x128_1x4x1_16x16x64_default,424.04,323.52,0.0
gfx942,80,32768,2048,2048,torch.float8_e4m3fnuz,cktile,48,0,638.0837,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x128_1x4x1_16x16x64_default,430.79,322.09,0.0
gfx942,80,1,2624,6144,torch.float8_e4m3fnuz,cktile,144,0,9.9255,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_16x64x512_1x4x1_16x16x64_default,3.25,1625.43,0.0
gfx942,80,2,2624,6144,torch.float8_e4m3fnuz,cktile,143,0,9.9265,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_16x64x512_1x4x1_16x16x64_default,6.5,1626.42,0.0
gfx942,80,4,2624,6144,torch.float8_e4m3fnuz,cktile,2,0,10.2925,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default,12.53,1570.8,0.0
gfx942,80,8,2624,6144,torch.float8_e4m3fnuz,cktile,144,0,9.9765,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_16x64x512_1x4x1_16x16x64_default,25.86,1625.12,0.0
gfx942,80,16,2624,6144,torch.float8_e4m3fnuz,ck,11,0,9.3862,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,54.96,1737.03,0.0
gfx942,80,24,2624,6144,torch.float8_e4m3fnuz,cktile,9,0,11.0295,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x64x512_1x4x1_16x16x64_default,70.16,1486.49,0.0
gfx942,80,32,2624,6144,torch.float8_e4m3fnuz,cktile,157,0,11.2386,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_32x64x512_1x4x1_16x16x64_default,91.81,1466.94,0.0
gfx942,80,48,2624,6144,torch.float8_e4m3fnuz,cktile,2,0,14.5864,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default,106.11,1142.75,0.0
gfx942,80,64,2624,6144,torch.float8_e4m3fnuz,cktile,5,0,17.2865,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x256_1x4x1_16x16x64_default,119.38,974.8,0.0
gfx942,80,96,2624,6144,torch.float8_e4m3fnuz,cktile,158,0,17.7424,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_32x64x512_1x4x1_16x16x64_default,174.46,970.3,0.0
gfx942,80,128,2624,6144,torch.float8_e4m3fnuz,cktile,110,0,23.2679,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_48x64x256_1x4x1_16x16x64_default,177.38,755.55,0.0
gfx942,80,192,2624,6144,torch.float8_e4m3fnuz,ck,114,0,26.8759,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,230.35,681.25,0.0
gfx942,80,256,2624,6144,torch.float8_e4m3fnuz,ck,112,0,37.7824,a8w8_bpreshuffle_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v1,218.47,503.89,0.0
gfx942,80,384,2624,6144,torch.float8_e4m3fnuz,ck,113,0,48.9128,a8w8_bpreshuffle_256x48x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,253.14,419.04,0.0
gfx942,80,512,2624,6144,torch.float8_e4m3fnuz,ck,114,0,60.5151,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,272.8,362.79,0.0
