M,N,K,q_dtype_w
1,2048,2048,torch.float8_e4m3fnuz
1,2624,6144,torch.float8_e4m3fnuz
1,3072,6144,torch.float8_e4m3fnuz
1,4096,2048,torch.float8_e4m3fnuz
1,6144,1536,torch.float8_e4m3fnuz
1,6144,2048,torch.float8_e4m3fnuz
2,2048,2048,torch.float8_e4m3fnuz
2,2624,6144,torch.float8_e4m3fnuz
2,3072,6144,torch.float8_e4m3fnuz
2,4096,2048,torch.float8_e4m3fnuz
2,6144,1536,torch.float8_e4m3fnuz
2,6144,2048,torch.float8_e4m3fnuz
4,2048,2048,torch.float8_e4m3fnuz
4,2624,6144,torch.float8_e4m3fnuz
4,3072,6144,torch.float8_e4m3fnuz
4,4096,2048,torch.float8_e4m3fnuz
4,6144,1536,torch.float8_e4m3fnuz
4,6144,2048,torch.float8_e4m3fnuz
8,2048,2048,torch.float8_e4m3fnuz
8,2624,6144,torch.float8_e4m3fnuz
8,3072,6144,torch.float8_e4m3fnuz
8,4096,2048,torch.float8_e4m3fnuz
8,6144,1536,torch.float8_e4m3fnuz
8,6144,2048,torch.float8_e4m3fnuz
16,2048,2048,torch.float8_e4m3fnuz
16,2624,6144,torch.float8_e4m3fnuz
16,3072,6144,torch.float8_e4m3fnuz
16,4096,2048,torch.float8_e4m3fnuz
16,6144,1536,torch.float8_e4m3fnuz
16,6144,2048,torch.float8_e4m3fnuz
24,2048,2048,torch.float8_e4m3fnuz
24,2624,6144,torch.float8_e4m3fnuz
24,3072,6144,torch.float8_e4m3fnuz
24,4096,2048,torch.float8_e4m3fnuz
24,6144,1536,torch.float8_e4m3fnuz
24,6144,2048,torch.float8_e4m3fnuz
32,2048,2048,torch.float8_e4m3fnuz
32,2624,6144,torch.float8_e4m3fnuz
32,3072,6144,torch.float8_e4m3fnuz
32,4096,2048,torch.float8_e4m3fnuz
32,6144,1536,torch.float8_e4m3fnuz
32,6144,2048,torch.float8_e4m3fnuz
48,2048,2048,torch.float8_e4m3fnuz
48,2624,6144,torch.float8_e4m3fnuz
48,3072,6144,torch.float8_e4m3fnuz
48,4096,2048,torch.float8_e4m3fnuz
48,6144,1536,torch.float8_e4m3fnuz
48,6144,2048,torch.float8_e4m3fnuz
64,2048,2048,torch.float8_e4m3fnuz
64,2624,6144,torch.float8_e4m3fnuz
64,3072,6144,torch.float8_e4m3fnuz
64,4096,2048,torch.float8_e4m3fnuz
64,6144,1536,torch.float8_e4m3fnuz
64,6144,2048,torch.float8_e4m3fnuz
96,2048,2048,torch.float8_e4m3fnuz
96,2624,6144,torch.float8_e4m3fnuz
96,3072,6144,torch.float8_e4m3fnuz
96,4096,2048,torch.float8_e4m3fnuz
96,6144,1536,torch.float8_e4m3fnuz
96,6144,2048,torch.float8_e4m3fnuz
128,2048,2048,torch.float8_e4m3fnuz
128,2624,6144,torch.float8_e4m3fnuz
128,3072,6144,torch.float8_e4m3fnuz
128,4096,2048,torch.float8_e4m3fnuz
128,6144,1536,torch.float8_e4m3fnuz
128,6144,2048,torch.float8_e4m3fnuz
192,2048,2048,torch.float8_e4m3fnuz
192,2624,6144,torch.float8_e4m3fnuz
192,3072,6144,torch.float8_e4m3fnuz
192,4096,2048,torch.float8_e4m3fnuz
192,6144,1536,torch.float8_e4m3fnuz
192,6144,2048,torch.float8_e4m3fnuz
