gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,36.9503,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.011551,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_sbm16,0.011551,36.9503,0,0,0,0.0,0.0,
gfx950,256,2,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,42.6584,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_xcd4_kw4_fp4,0.9%,24.3121,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_sbm32,1.5%,66.9705,0,0,0,19.56,139639.41,
gfx950,256,4,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,118.2856,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.011925,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,0.011925,118.2856,0,0,0,0.0,0.0,
gfx950,256,8,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,197.6281,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.011783,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x256_atomic_persist_nt_sbm16,0.011783,197.6281,0,0,0,0.0,0.0,
gfx950,256,16,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,281.017,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,156.975,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_sbm32,6.3%,437.992,0,0,0,30.14,26895.77,
gfx950,256,32,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,520.8088,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.011719,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,0.011719,520.8088,0,0,0,0.0,0.0,
gfx950,256,64,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,491.893,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw4,0.0%,276.065,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_persist_sbm32,6.2%,767.958,0,0,0,61.46,13713.6,
gfx950,256,128,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,500.933,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2,0.0%,280.85,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_sbm32,6.2%,781.783,0,0,0,110.02,12275.05,
gfx950,256,256,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,517.9788,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w3_fp4,0.9%,269.0093,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_nt_sbm64,1.2%,786.9881,0,0,0,221.03,12333.28,
gfx950,256,512,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,519.9307,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.9%,281.5449,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_persist_nt_sbm32,1.2%,801.4756,0,0,0,434.06,12116.23,
gfx950,256,1024,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,525.1331,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_fp4,0.9%,298.1831,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_nt_sbm64,1.2%,823.3162,0,0,0,845.1,11806.28,
gfx950,256,2048,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,612.6436,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3_fp4,0.9%,392.3435,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x256_atomic_nt_sbm128,1.2%,1004.9871,0,0,0,1384.66,9690.84,
gfx950,256,4096,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,902.3463,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_fp4,0.9%,626.3737,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_persist_sbm64,1.2%,1528.72,0,0,0,1820.57,6395.5,
gfx950,256,8192,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1298.1748,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_fp4,0.9%,1029.1888,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_persist_sbm64,1.2%,2327.3636,0,0,0,2391.67,4233.3,
gfx950,256,16384,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,4143.2712,flydsl_mxmoe_g1_a4w4_128x256x256,0.011738,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x128_atomic_sbm128,0.011738,4143.2712,0,0,0,0.0,0.0,
gfx950,256,32768,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,3959.9916,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_bnt0_fp4,0.9%,3398.642,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x128_atomic_sbm128,1.2%,7358.6336,0,0,0,3025.71,1400.45,
gfx950,256,1,6144,1024,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,29.1714,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.011615,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.011615,29.1714,0,0,0,0.0,0.0,
gfx950,256,2,6144,1024,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,36.2971,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.011969,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_nt_sbm16,0.011969,36.2971,0,0,0,0.0,0.0,
gfx950,256,4,6144,1024,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,45.770500000000006,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_xcd4,0.0%,24.9613,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_nt_sbm32,0.5%,70.7318,0,0,0,19.21,68579.99,
gfx950,256,8,6144,1024,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,101.3645,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.011749,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x256_atomic_sbm16,0.011749,101.3645,0,0,0,0.0,0.0,
