gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,14.3948,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_gui_xcd4_kw2_fp8,0.0%,7.9727,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_reduce_sbm32,0.0%,22.3676,0,0,0,7.59,108432.5,
gfx950,256,2,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,22.3592,flydsl_moe1_afp8_wfp8_bf16_t32x128x256_gui_fp8,0.0%,15.3182,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_reduce_sbm32,0.0%,37.6773,0,0,0,9.02,64372.8,
gfx950,256,4,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,40.9719,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_xcd4_fp8,0.0%,23.9666,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_reduce_sbm32,0.0%,64.9385,0,0,0,10.47,37349.65,
gfx950,256,8,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,74.2818,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_kw2_fp8,0.0%,39.4256,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x128_reduce_sbm32,0.0%,113.7075,0,0,0,11.95,21331.08,
gfx950,256,16,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,142.3582,flydsl_moe1_afp8_wfp8_bf16_t32x128x256_w4_gui_fp8,0.0%,70.0144,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_atomic_nt_sbm32,0.0%,212.3725,0,0,0,12.8,11421.68,
gfx950,256,32,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,248.0728,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w3_gui_fp8,0.0%,124.3749,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x128_atomic_nt_sbm32,0.0%,372.4477,0,0,0,14.6,6513.52,
gfx950,256,64,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,252.5781,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w3_gui_fp8,0.0%,125.6254,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x128_atomic_nt_sbm32,0.0%,378.2035,0,0,0,28.75,6415.95,
gfx950,256,128,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,255.4434,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w2_gui_fp8,0.0%,124.3054,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x128_atomic_nt_sbm32,0.0%,379.7488,0,0,0,57.25,6392.95,
gfx950,256,256,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,251.9823,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w2_gui_kw2_fp8,0.0%,126.4591,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x128_atomic_nt_sbm32,0.0%,378.4414,0,0,0,114.91,6421.27,
gfx950,256,512,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,258.2561,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w2_gui_kw2_fp8,0.0%,133.6402,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x128_atomic_nt_sbm32,0.0%,391.8962,0,0,0,221.93,6212.86,
