gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,108,9,3.9077,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x5_ks9_w1x1x1_bias1_ktail0_gm0_pft_gfx950,0.0078,0.19,190.21
gfx950,256,2,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,110,9,3.7512,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x5_ks9_w1x2x1_bias1_ktail0_gm0_pft_gfx950,0.0117,0.39,199.75
gfx950,256,4,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,120,9,3.6905,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x6_ks9_w1x1x1_bias1_ktail0_gm0_pft_gfx950,0.0176,0.8,206.3
gfx950,256,8,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,120,9,3.752,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x6_ks9_w1x1x1_bias1_ktail0_gm0_pft_gfx950,0.0205,1.57,209.33
gfx950,256,16,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,120,9,3.8816,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x6_ks9_w1x1x1_bias1_ktail0_gm0_pft_gfx950,0.0156,3.04,214.74
gfx950,256,32,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,562,9,3.9661,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x6_ks9_w2x1x1_bias1_ktail0_gm0_pft_gfx950,0.0193,5.95,234.43
gfx950,256,48,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1447,9,4.2739,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x5_ks9_w4x1x1_bias1_ktail0_gm0_pft_gfx950,0.0163,8.28,240.07
gfx950,256,64,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,593,9,4.4494,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x6_ks9_w2x2x1_bias1_ktail0_gm0_pft_gfx950,0.0173,10.61,252.24
gfx950,256,80,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1878,9,4.6221,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x5_ks9_w4x1x1_bias1_ktail0_gm0_pft_gfx950,0.0182,12.76,263.64
gfx950,256,96,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1958,9,4.6851,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x4_ks9_w2x2x1_bias1_ktail0_gm0_pft_gfx950,0.0166,15.11,280.64
gfx950,256,112,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1878,9,4.9309,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x5_ks9_w4x1x1_bias1_ktail0_gm0_pft_gfx950,0.018,16.75,286.17
gfx950,256,128,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2298,9,4.9983,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks9_w4x2x1_bias1_ktail0_gm0_pft_gfx950,0.0175,18.88,301.57
gfx950,256,192,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2057,9,5.3708,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x5_ks9_w2x2x1_bias1_ktail0_gm0_pft_gfx950,0.0178,26.36,352.34
gfx950,256,256,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1082,5,5.6556,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks5_w2x2x1_bias1_ktail0_gm0_pft_gfx950,0.0127,33.37,402.68
gfx950,256,320,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1066,5,5.8545,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks5_w2x2x1_bias1_ktail0_gm0_pft_gfx950,0.0129,40.3,454.76
gfx950,256,512,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,961,3,6.9146,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x9_ks3_w2x2x1_bias1_ktail0_gm0_pft_gfx950,0.0094,54.59,552.09
gfx950,256,1024,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1914,5,8.7303,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks5_w4x2x1_bias1_ktail0_gm0_pft_gfx950,0.0136,86.48,790.08
gfx950,256,2048,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,811,1,9.6051,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks1_w2x2x1_bias1_ktail0_gm4_pft_gfx950,0.0,157.2,1359.49
gfx950,256,4096,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,796,1,12.788,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x8_ks1_w2x2x1_bias1_ktail0_gm4_pft_gfx950,0.0,236.15,1984.58
gfx950,256,8192,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1054,1,17.7975,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w2x4x1_bias1_ktail0_gm4_pft_gfx950,0.0,339.36,2810.53
gfx950,256,16384,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,496,1,26.5764,flydsl_hgemm_abf16_wbf16_bf16_t64x128x64x4_ks1_w2x4x1_bias1_ktail0_gm4_pft_gfx950,0.0,454.52,3736.53
gfx950,256,1,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,195,9,5.3166,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x5_ks9_w1x1x1_bias1_ktail0_gm0_pft_gfx950,0.0125,0.69,694.7
gfx950,256,2,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,197,9,5.1046,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x5_ks9_w1x2x1_bias1_ktail0_gm0_pft_gfx950,0.018,1.44,724.93
gfx950,256,4,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,209,9,5.0845,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x6_ks9_w1x2x1_bias1_ktail0_gm0_pft_gfx950,0.0168,2.9,730.57
gfx950,256,8,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,209,9,5.1302,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x6_ks9_w1x2x1_bias1_ktail0_gm0_pft_gfx950,0.0154,5.75,729.55
gfx950,256,16,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,140,5,5.4133,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks5_w1x2x1_bias1_ktail0_gm0_pft_gfx950,0.0136,10.9,701.8
gfx950,256,32,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,114,5,5.5599,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x6_ks5_w1x2x1_bias1_ktail0_gm0_pft_gfx950,0.0131,21.22,703.55
gfx950,256,48,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,594,5,5.8544,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x7_ks5_w2x2x1_bias1_ktail0_gm0_pft_gfx950,0.0137,30.22,687.4
gfx950,256,64,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,579,5,6.1542,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x7_ks5_w1x2x1_bias1_ktail0_gm0_pft_gfx950,0.0131,38.34,672.22
