cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,tflops,bw,_tag
256,256,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,193.9939,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,1.0%,109.9075,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_nt_sbm32,1.1%,303.9014,0,0,190.79,11932.28,
256,512,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,195.4904,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,1.0%,111.1975,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.1%,306.6879,0,0,378.12,11831.56,
256,1024,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,198.0473,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,1.0%,115.3019,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.1%,313.3492,0,0,740.16,11595.1,
256,2048,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,208.1401,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_fp4,1.0%,127.8959,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_nt_sbm64,1.1%,336.036,0,0,1380.38,10840.37,
256,4096,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,299.0207,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,1.0%,184.4231,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_persist_sbm64,1.1%,483.4438,0,0,1918.97,7574.05,
256,8192,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,478.3336,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_fp4,1.0%,311.1372,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_persist_sbm64,1.1%,789.4708,0,0,2350.21,4685.89,
256,16384,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,843.2347,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_fp4,1.0%,571.522,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_sbm64,1.1%,1414.7567,0,0,2622.96,2668.21,
256,32768,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1564.0446,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_fp4,1.0%,1077.7066,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_sbm64,1.1%,2641.7512,0,0,2809.39,1486.09,
256,256,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,99.4116,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,1.0%,60.8909,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,160.3025,0,0,180.85,11317.97,
256,512,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,100.6431,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,1.0%,63.4123,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,164.0554,0,0,353.43,11073.44,
