gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1024,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,3,20.1108,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0104,280.3,1042.8
gfx950,256,96,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4127,4,11.0603,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0142,127.42,1469.48
gfx950,256,32,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,14,7.24,flydsl_gemm2_abf16_wbf16_bf16_t32x32x128_split_k14_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_4wave_gfx950,0.0,133.82,4264.03
gfx950,256,64,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,7,9.67,flydsl_gemm2_abf16_wbf16_bf16_t64x32x128_split_k7_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_4wave_gfx950,0.0,200.39,3253.93
gfx950,256,1024,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1542,1,68.5856,flydsl_gemm3_abf16_wbf16_bf16_t64x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,452.05,718.56
gfx950,256,4096,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,117.8273,native,0.0,1052.53,902.16
gfx950,256,16384,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,480.3821,native,0.0,1032.65,696.04
gfx950,256,1024,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5322,1,17.6546,flydsl_gemm4_abf16_wbf16_bf16_t128x128x64_split_k1_block_m_warp2_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,547.37,1069.09
gfx950,256,4096,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,40.3383,native,0.0,958.26,1169.75
gfx950,256,16384,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,130.6942,native,0.0,1183.06,1227.54
gfx950,256,256,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4620,1,5.2609,flydsl_gemm6_abf16_wbf16_bf16_t64x64x64_split_k1_block_m_warp4_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,204.1,1245.72
gfx950,256,1024,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2875,1,9.5558,flydsl_gemm4_abf16_wbf16_bf16_t128x128x64_split_k1_block_m_warp4_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,449.46,1426.51
gfx950,256,4096,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,20.9336,native,0.0,820.68,2003.62
gfx950,256,16384,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,80.4652,native,0.0,854.03,1928.65
