gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,96,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3002,7,7.7009,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks7_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0207,68.63,903.14
gfx950,256,144,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4648,7,8.6112,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x6_ks7_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0206,92.06,891.86
gfx950,256,192,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5841,7,9.8581,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x7_ks7_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0203,107.22,852.6
gfx950,256,208,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3647,8,10.2764,flydsl_hgemm_abf16_wbf16_bf16_t32x96x64x5_ks8_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0218,111.42,841.41
gfx950,256,256,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6764,7,11.1671,flydsl_hgemm_abf16_wbf16_bf16_t96x32x64x5_ks7_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0203,126.2,839.22
gfx950,256,288,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5037,4,11.4312,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x6_ks4_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.014,138.69,862.11
gfx950,256,384,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6332,8,12.9977,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks8_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0216,162.64,869.77
gfx950,256,16,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,324,7,6.8196,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x8_ks7_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0193,34.44,2191.07
gfx950,256,24,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2089,8,7.1615,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0208,49.2,2104.77
gfx950,256,40,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4618,8,8.0235,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x8_ks8_w4x1x1_bias0_ktail0_gm0_pft_gfx950,0.0206,73.19,1911.31
gfx950,256,56,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4631,7,8.7624,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x5_ks7_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0188,93.82,1780.06
gfx950,256,120,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2548,4,11.2255,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x4_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0144,156.93,1482.89
gfx950,256,144,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4374,8,12.3958,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks8_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0213,170.54,1374.61
gfx950,256,192,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3236,4,13.6053,flydsl_hgemm_abf16_wbf16_bf16_t48x64x128x3_ks4_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0142,207.17,1310.21
gfx950,256,200,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4976,4,13.8725,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks4_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0142,211.64,1294.42
gfx950,256,208,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4478,4,14.0085,flydsl_hgemm_abf16_wbf16_bf16_t64x64x128x3_ks4_w2x2x2_bias0_ktail0_gm0_pft_gfx950,0.022,217.97,1291.21
gfx950,256,216,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5035,4,14.1108,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.014,224.71,1291.14
