cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
256,1,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,13.6475,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw4,0.0%,7.7145,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,1.4%,21.362,0,4.12,98958.46,
256,2,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,14.7274,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_bnt0_kw4,0.0%,8.8872,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,1.4%,23.6146,0,7.46,89519.71,
256,4,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,16.9403,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw4,0.0%,12.192,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2,0.1%,29.1323,0,12.09,72566.03,
256,8,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,22.9567,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_xcd4_kw4_fp4,0.7%,16.7114,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2,0.1%,39.6681,0,17.76,53294.74,
256,16,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,35.9287,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,0.9%,23.6549,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2,0.1%,59.5836,0,23.65,35484.15,
256,32,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,63.889300000000006,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4,0.0%,37.0933,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_bnt2_persist_sbm32,1.3%,100.9826,0,27.91,20940.41,
256,64,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,93.5036,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3,0.0%,53.9899,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_bnt2_sbm32,1.2%,147.4935,0,38.22,14341.69,
256,128,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,108.3724,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,17.2%,66.6968,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_bnt2_sbm32,1.3%,175.0692,0,64.4,12090.54,
256,256,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,116.6103,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,17.1%,74.0789,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_bnt2_persist_sbm32,1.2%,190.6892,0,118.25,11114.6,
256,512,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,117.5849,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,17.0%,80.9526,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2,1.2%,198.5375,0,227.15,10702.96,
