gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,15.2128,flydsl_moe1_abf16_wfp4_bf16_t32x32x256_xcd1_kw2,0.0%,11.9685,flydsl_moe2_abf16_wfp4_bf16_t32x128x128_atomic_bnt2,0.4%,27.1813,0,0,0,6.48,181467.25,
gfx950,256,2,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,21.4146,flydsl_moe1_abf16_wfp4_bf16_t32x64x256_xcd1_kw2,0.0%,14.2472,flydsl_moe2_abf16_wfp4_bf16_t32x128x128_atomic_bnt2_xcd4,0.4%,35.6618,0,0,0,9.88,138314.11,
gfx950,256,3,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,29.1549,flydsl_moe1_abf16_wfp4_bf16_t32x64x256_kw2,0.0%,17.4007,flydsl_moe2_abf16_wfp4_bf16_t32x128x128_atomic,0.6%,46.5556,0,0,0,11.35,105949.54,
gfx950,256,4,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,30.7522,flydsl_moe1_abf16_wfp4_bf16_t32x64x256_xcd4_kw2,0.0%,21.4556,flydsl_moe2_abf16_wfp4_bf16_t32x128x128_atomic,0.6%,52.2078,0,0,0,13.5,94479.35,
gfx950,256,8,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,43.412,flydsl_moe1_abf16_wfp4_bf16_t32x128x256_xcd1,0.0%,31.4221,flydsl_moe2_abf16_wfp4_bf16_t32x128x128_atomic,0.5%,74.8341,0,0,0,18.83,65914.02,
gfx950,256,16,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,84.2642,flydsl_moe1_abf16_wfp4_bf16_t32x128x256_xcd4,0.0%,49.2721,flydsl_moe2_abf16_wfp4_bf16_t32x128x128_atomic_bnt2,0.4%,133.5363,0,0,0,21.11,36939.25,
gfx950,256,32,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,146.0252,flydsl_moe1_abf16_wfp4_bf16_t32x128x256_xcd1,0.0%,78.5357,flydsl_moe2_abf16_wfp4_bf16_t32x128x128_atomic_bnt2,0.5%,224.5609,0,0,0,25.1,21967.14,
gfx950,256,64,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,207.6637,flydsl_moe1_abf16_wfp4_bf16_t32x128x256_xcd1,0.0%,119.4062,flydsl_moe2_abf16_wfp4_bf16_t32x128x128_atomic_bnt2_xcd4,0.5%,327.0699,0,0,0,34.47,15083.68,
gfx950,256,128,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,269.4591,flydsl_moe1_abf16_wfp4_bf16_t32x128x128_xcd4,0.0%,158.7188,flydsl_moe2_abf16_wfp4_bf16_t32x128x128_atomic,0.5%,428.1779,0,0,0,52.66,11524.03,
gfx950,256,256,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,294.0032,flydsl_moe1_abf16_wfp4_bf16_t32x128x128_xcd1,0.0%,176.7689,flydsl_moe2_abf16_wfp4_bf16_t32x128x128_atomic_bnt2_xcd4,0.5%,470.7721,0,0,0,95.79,10485.27,
