gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,3584,7168,21,0,12.408,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,4.14,1036.09,0.0
gfx950,256,2,3584,7168,21,0,12.3562,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,8.32,1041.3,0.0
gfx950,256,4,3584,7168,21,0,12.4209,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,16.55,1037.61,0.0
gfx950,256,8,3584,7168,29,0,12.9733,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,31.68,996.75,0.0
gfx950,256,16,3584,7168,21,0,13.6169,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,60.37,955.95,0.0
gfx950,256,32,3584,7168,29,0,14.8318,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,110.85,889.25,0.0
gfx950,256,64,3584,7168,21,0,13.1707,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,249.67,1027.52,0.0
gfx950,256,128,3584,7168,21,0,12.6907,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,518.23,1120.61,0.0
gfx950,256,256,3584,7168,21,0,12.8609,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,1022.74,1212.79,0.0
gfx950,256,512,3584,7168,29,0,15.6922,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,1676.42,1169.38,0.0
gfx950,256,1024,3584,7168,42,0,22.6393,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x128E,2323.98,1053.7,0.0
gfx950,256,2048,3584,7168,43,0,35.0186,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x256E,3004.88,995.62,0.0
gfx950,256,4096,3584,7168,54,0,57.0197,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3690.89,997.64,0.0
gfx950,256,8192,3584,7168,54,0,109.8755,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3830.76,918.54,0.0
gfx950,256,16384,3584,7168,54,0,200.2037,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4204.79,944.07,0.0
gfx950,256,32768,3584,7168,54,0,364.2688,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4621.94,1002.46,0.0
gfx950,256,1,7168,3584,21,0,8.0072,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,6.42,1606.2,0.0
gfx950,256,2,7168,3584,21,0,8.0104,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,12.83,1607.57,0.0
gfx950,256,4,7168,3584,21,0,8.7138,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,23.59,1481.51,0.0
gfx950,256,8,7168,3584,21,0,8.7798,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,46.82,1477.72,0.0
gfx950,256,16,7168,3584,21,0,8.9976,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,91.37,1456.29,0.0
gfx950,256,32,7168,3584,21,0,9.533,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,172.47,1401.57,0.0
gfx950,256,64,7168,3584,21,0,8.836,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,372.15,1570.54,0.0
gfx950,256,128,7168,3584,21,0,8.8396,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,744.0,1686.66,0.0
gfx950,256,256,7168,3584,29,0,10.3358,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,1272.6,1642.24,0.0
gfx950,256,512,7168,3584,42,0,14.0368,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x128E,1874.12,1503.38,0.0
gfx950,256,1024,7168,3584,53,0,21.2556,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x128E,2475.27,1381.29,0.0
gfx950,256,2048,7168,3584,54,0,31.3582,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3355.64,1462.94,0.0
gfx950,256,4096,7168,3584,54,0,61.8061,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3405.06,1276.66,0.0
gfx950,256,8192,7168,3584,54,0,117.7256,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3575.32,1231.39,0.0
gfx950,256,16384,7168,3584,54,0,205.9293,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4087.88,1345.54,0.0
gfx950,256,32768,7168,3584,54,0,400.7176,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4201.53,1350.89,0.0
