gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,720,8,16.9209,flydsl_hgemm_abf16_wbf16_bf16_t16x96x256x2_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0243,4.46,4464.0
gfx950,256,16,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,720,8,17.6071,flydsl_hgemm_abf16_wbf16_bf16_t16x96x256x2_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0243,68.61,4321.86
gfx950,256,32,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2300,8,19.2864,flydsl_hgemm_abf16_wbf16_bf16_t32x96x256x2_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0245,125.27,3976.56
gfx950,256,64,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4558,8,21.9368,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks8_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.024,220.26,3550.63
gfx950,256,128,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,747,8,29.3423,flydsl_hgemm_abf16_wbf16_bf16_t128x96x64x4_ks8_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0242,329.34,2736.04
gfx950,256,256,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,42.4581,native,0.0,455.21,2003.52
gfx950,256,512,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,56.6703,native,0.0,682.1,1669.9
gfx950,256,1024,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,90.7703,native,0.0,851.7,1253.39
gfx950,256,2048,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,178.5356,native,0.0,866.04,851.61
gfx950,256,4096,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,258.081,native,0.0,1198.22,885.73
gfx950,256,8192,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,514.657,native,0.0,1201.72,741.62
gfx950,256,16384,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,914.9679,native,0.0,1351.91,751.79
gfx950,256,32768,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,83,1,1742.2826,flydsl_hgemm_abf16_wbf16_bf16_t256x256x64x2_ks1_w2x4x1_bias0_ktail0_gm4_pht_gfx950,0.0,1419.92,746.28
gfx950,256,1,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,253,4,29.3536,flydsl_hgemm_abf16_wbf16_bf16_t16x32x256x2_ks4_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0132,5.14,5145.43
gfx950,256,16,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,664,4,30.2983,flydsl_hgemm_abf16_wbf16_bf16_t16x96x256x2_ks4_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0156,79.74,5005.78
gfx950,256,32,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1984,4,32.5577,flydsl_hgemm_abf16_wbf16_bf16_t32x96x256x2_ks4_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0161,148.41,4679.03
