gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,639,6,8.1543,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x3_ks6_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0152,3.47,3474.05
gfx950,256,1,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,861,6,8.7483,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x4_ks6_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0141,3.6,3597.81
gfx950,256,1,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,155,1,7.0929,flydsl_hgemm_abf16_wbf16_bf16_t16x16x64x8_ks1_w1x1x1_bias0_ktail0_gm4_pft_gfx950,0.0,3.55,3550.34
gfx950,256,1,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,249,1,11.4025,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,4.97,4967.74
gfx950,256,1,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,763,4,27.5159,flydsl_hgemm_abf16_wbf16_bf16_t16x96x128x3_ks4_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0148,5.49,5488.89
gfx950,256,1,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,482,2,38.9865,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0076,5.81,5810.77
gfx950,256,1,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,698,2,21.8152,flydsl_hgemm_abf16_wbf16_bf16_t16x96x64x8_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0048,5.19,5192.57
gfx950,256,1,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,1,113.6213,flydsl_hgemm_abf16_wbf16_bf16_t16x128x128x2_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,5.41,5410.16
gfx950,256,2,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,639,6,8.1108,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x3_ks6_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0143,6.98,3494.77
gfx950,256,2,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,618,6,8.7411,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks6_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0148,7.2,3602.76
gfx950,256,2,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,87,1,7.1784,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x5_ks1_w1x1x1_bias0_ktail0_gm4_pft_gfx950,0.0,7.01,3510.34
gfx950,256,2,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,248,1,11.5554,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0045,9.8,4903.86
gfx950,256,2,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,814,4,27.4176,flydsl_hgemm_abf16_wbf16_bf16_t16x96x64x6_ks4_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0153,11.01,5509.92
gfx950,256,2,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,484,2,39.2008,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks2_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0075,11.56,5780.26
gfx950,256,2,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,645,2,21.8518,flydsl_hgemm_abf16_wbf16_bf16_t16x96x128x3_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.005,10.36,5185.28
gfx950,256,2,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,1,113.9346,flydsl_hgemm_abf16_wbf16_bf16_t16x128x128x2_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,10.79,5396.26
gfx950,256,4,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,669,6,8.2325,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks6_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0151,13.76,3447.21
