gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,1,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,15.223,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_kw2_fp8,0.0%,10.4127,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_atomic_nt_sbm32,0.0%,25.6357,0,0,0,5.52,71233.22
gfx950,256,2,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,19.4782,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w2_gui_kw2_fp8,0.0%,14.6444,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x128_reduce_sbm32,0.0%,34.1226,0,0,0,8.3,53516.79
gfx950,256,4,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,33.1486,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_fp8,0.0%,23.4982,flydsl_moe2_layout_afp8_wfp8_bf16_t32x256x256_atomic_nt_sbm32,0.0%,56.6468,0,0,0,10.0,32237.81
gfx950,256,8,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,61.2517,flydsl_moe1_afp8_wfp8_bf16_t32x128x256_w2_gui_fp8,0.0%,38.3249,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_atomic_nt_sbm32,0.0%,99.5766,0,0,0,11.37,18340.08
gfx950,256,16,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,117.8179,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w2_gui_fp8,0.0%,64.7949,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_atomic_nt_sbm32,0.0%,182.6128,0,0,0,12.4,10001.43
gfx950,256,32,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,193.4045,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_kw2_fp8,0.0%,99.1019,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_reduce_nt_sbm32,0.0%,292.5064,0,0,0,15.49,6244.94
gfx950,256,64,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,193.4228,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_kw2_fp8,0.0%,101.4416,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_atomic_nt_sbm32,0.0%,294.8644,0,0,0,30.72,6197.0
gfx950,256,128,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,194.1156,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_kw2_fp8,0.0%,105.1905,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_atomic_nt_sbm32,0.0%,299.3061,0,0,0,60.54,6108.98
gfx950,256,256,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,194.7306,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_kw2_fp8,0.0%,109.0034,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_atomic_nt_sbm32,0.0%,303.734,0,0,0,119.31,6027.69
gfx950,256,512,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,198.3264,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w3_gui_kw2_fp8,0.0%,113.7183,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_atomic_nt_sbm32,0.0%,312.0447,0,0,0,232.27,5882.27
