gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,1280,4096,21,0,8.368,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,1.25,313.82,0.0
gfx950,256,2,1280,4096,21,0,8.439,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,2.49,311.73,0.0
gfx950,256,4,1280,4096,21,0,8.0574,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,5.21,327.63,0.0
gfx950,256,8,1280,4096,21,0,8.258,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,10.16,321.91,0.0
gfx950,256,16,1280,4096,21,0,8.3639,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,20.06,322.24,0.0
gfx950,256,32,1280,4096,21,0,8.8876,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,37.75,311.55,0.0
gfx950,256,64,1280,4096,21,0,8.9594,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,74.9,325.51,0.0
gfx950,256,128,1280,4096,21,0,8.4833,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,158.21,378.54,0.0
gfx950,256,256,1280,4096,21,0,8.4214,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,318.75,451.36,0.0
gfx950,256,512,1280,4096,21,0,8.6706,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,619.19,574.44,0.0
gfx950,256,1024,1280,4096,29,0,10.3347,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,1038.97,710.23,0.0
gfx950,256,2048,1280,4096,37,0,13.2011,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,1626.75,913.46,0.0
gfx950,256,4096,1280,4096,38,0,19.6561,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x256E,2185.06,1093.59,0.0
gfx950,256,8192,1280,4096,50,0,29.3731,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,2924.42,1374.39,0.0
gfx950,256,16384,1280,4096,44,0,58.5024,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x384E,2936.61,1335.31,0.0
gfx950,256,32768,1280,4096,54,0,98.0984,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3502.58,1565.94,0.0
gfx950,256,1,2304,4096,21,0,8.3986,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,2.25,562.62,0.0
gfx950,256,2,2304,4096,21,0,8.4234,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,4.48,561.76,0.0
gfx950,256,4,2304,4096,21,0,8.835,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,8.55,537.09,0.0
gfx950,256,8,2304,4096,21,0,8.9918,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,16.79,530.69,0.0
gfx950,256,16,2304,4096,21,0,8.7857,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,34.37,549.2,0.0
gfx950,256,32,2304,4096,29,0,9.5535,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,63.22,516.21,0.0
gfx950,256,64,2304,4096,21,0,9.1826,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,131.55,560.25,0.0
gfx950,256,128,2304,4096,21,0,9.0942,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,265.65,612.54,0.0
gfx950,256,256,2304,4096,21,0,8.9586,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,539.35,716.91,0.0
