M,N,K
1,1280,4096
1,2304,4096
1,4096,2048
1,4608,4096
1,9216,4096
2,1280,4096
2,2304,4096
2,4096,2048
2,4608,4096
2,9216,4096
4,1280,4096
4,2304,4096
4,4096,2048
4,4608,4096
4,9216,4096
8,1280,4096
8,2304,4096
8,4096,2048
8,4608,4096
8,9216,4096
16,1280,4096
16,2304,4096
16,4096,2048
16,4608,4096
16,9216,4096
32,1280,4096
32,2304,4096
32,4096,2048
32,4608,4096
32,9216,4096
64,1280,4096
64,2304,4096
64,4096,2048
64,4608,4096
64,9216,4096
128,1280,4096
128,2304,4096
128,4096,2048
128,4608,4096
128,9216,4096
256,1280,4096
256,2304,4096
256,4096,2048
256,4608,4096
256,9216,4096
512,1280,4096
512,2304,4096
512,4096,1024
512,4096,2048
512,4608,4096
512,9216,4096
1024,1280,4096
1024,2304,4096
1024,4096,1024
1024,4096,2048
1024,4608,4096
1024,9216,4096
2048,1280,4096
2048,2304,4096
2048,4096,1024
2048,4096,2048
2048,4608,4096
2048,9216,4096
4096,1280,4096
4096,2304,4096
4096,4096,1024
4096,4096,2048
4096,4608,4096
4096,9216,4096
8192,1280,4096
8192,2304,4096
8192,4096,1024
8192,4096,2048
8192,4608,4096
8192,9216,4096
16384,1280,4096
16384,2304,4096
16384,4096,1024
16384,4096,2048
16384,4608,4096
16384,9216,4096
32768,1280,4096
32768,2304,4096
32768,4096,1024
32768,4096,2048
32768,4608,4096
32768,9216,4096
