gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.8636,sol2,0.0,0.27,273.59
gfx950,256,2,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.001,sol2,0.0,0.52,266.3
gfx950,256,4,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.8198,sol2,0.0,0.87,224.57
gfx950,256,8,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,4.8091,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0332,1.74,232.09
gfx950,256,16,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,4.915,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0249,3.41,240.84
gfx950,256,32,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.1796,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0293,6.48,254.64
gfx950,256,48,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,5.015,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0283,10.04,289.95
gfx950,256,64,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,16,5.5321,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0297,12.13,287.28
gfx950,256,96,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,16,6.1484,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0283,16.37,302.45
gfx950,256,128,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,9,6.4639,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.021,20.76,329.51
gfx950,256,192,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,16,7.2309,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.028,27.84,369.33
gfx950,256,256,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.4722,native,0.0,31.68,379.04
gfx950,256,384,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.3549,native,0.0,48.19,513.78
gfx950,256,512,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.7791,native,0.0,61.15,612.13
gfx950,256,768,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,10.609,native,0.0,75.91,710.4
gfx950,256,1024,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,10.7162,native,0.0,100.2,905.11
gfx950,256,2048,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,5,12.5434,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0145,171.2,1462.93
gfx950,256,4096,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,16.8783,native,0.0,254.47,2112.27
gfx950,256,8192,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,23.2307,native,0.0,369.77,3024.21
gfx950,256,16384,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,35.2464,native,0.0,487.42,3956.73
gfx950,256,32768,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,58.3096,native,0.0,589.26,4765.47
gfx950,256,1,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,32.8945,native,0.0,4.73,4731.14
gfx950,256,2,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,32.9096,native,0.0,9.46,4730.38
gfx950,256,4,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,32.2979,native,0.0,19.27,4822.83
gfx950,256,8,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,32.1031,native,0.0,38.77,4857.84
gfx950,256,16,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,33.8489,native,0.0,73.54,4618.21
gfx950,256,32,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,29.7264,native,0.0,167.48,5283.52
gfx950,256,48,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,33.029,native,0.0,226.1,4777.59
gfx950,256,64,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,35.2202,native,0.0,282.71,4501.33
gfx950,256,96,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,37.8692,native,0.0,394.41,4225.48
gfx950,256,128,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,41.5005,native,0.0,479.86,3891.35
gfx950,256,192,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.9404,native,0.0,598.15,3292.89
gfx950,256,256,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,55.062,native,0.0,723.35,3040.27
gfx950,256,384,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,83.7105,native,0.0,713.69,2070.4
gfx950,256,512,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,79.2885,native,0.0,1004.66,2260.41
gfx950,256,768,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,102.8658,native,0.0,1161.58,1857.23
gfx950,256,1024,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,150.84,native,0.0,1056.19,1344.91
gfx950,256,2048,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,287.3163,native,0.0,1109.0,870.65
gfx950,256,4096,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,505.7165,native,0.0,1260.12,681.65
gfx950,256,8192,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,985.9996,native,0.0,1292.63,541.44
gfx950,256,1,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,59.1797,native,0.0,5.26,5259.39
gfx950,256,2,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,60.5411,native,0.0,10.28,5142.51
gfx950,256,4,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,62.1306,native,0.0,20.03,5013.66
gfx950,256,8,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,60.0029,native,0.0,41.49,5197.05
gfx950,256,16,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,57.5791,auto,0.0,86.47,5427.52
gfx950,256,32,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,61.4344,native,0.0,162.08,5108.83
gfx950,256,48,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,62.051,native,0.0,240.7,5079.77
gfx950,256,64,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,65.0519,native,0.0,306.13,4866.13
gfx950,256,96,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,66.8805,native,0.0,446.64,4773.35
gfx950,256,128,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,70.0081,native,0.0,568.92,4598.57
gfx950,256,192,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,84.6442,native,0.0,705.82,3867.05
gfx950,256,256,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,87.5934,native,0.0,909.41,3798.34
gfx950,256,384,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,126.5183,native,0.0,944.43,2714.88
gfx950,256,512,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,155.5432,native,0.0,1024.26,2277.53
gfx950,256,768,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,203.7386,native,0.0,1172.95,1844.52
gfx950,256,1024,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,294.283,native,0.0,1082.74,1350.21
gfx950,256,2048,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,529.477,native,0.0,1203.58,913.21
gfx950,256,4096,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,1028.6209,native,0.0,1239.07,637.63
gfx950,256,8192,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,1779.3662,native,0.0,1432.57,562.34
