M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
1,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
1,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False
1,75968,4096,False,torch.bfloat16,torch.bfloat16,False,False
2,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
2,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
2,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False
2,75968,4096,False,torch.bfloat16,torch.bfloat16,False,False
4,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
4,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
4,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False
4,75968,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,75968,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,75968,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,75968,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,151936,4096,False,torch.bfloat16,torch.bfloat16,False,False
48,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
48,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
48,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False
48,75968,4096,False,torch.bfloat16,torch.bfloat16,False,False
48,151936,4096,False,torch.bfloat16,torch.bfloat16,False,False
64,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
64,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
64,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False
64,75968,4096,False,torch.bfloat16,torch.bfloat16,False,False
64,151936,4096,False,torch.bfloat16,torch.bfloat16,False,False
96,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
96,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
96,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False
96,75968,4096,False,torch.bfloat16,torch.bfloat16,False,False
96,151936,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,75968,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,151936,4096,False,torch.bfloat16,torch.bfloat16,False,False
192,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
192,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
192,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False
192,75968,4096,False,torch.bfloat16,torch.bfloat16,False,False
192,151936,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,75968,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,151936,4096,False,torch.bfloat16,torch.bfloat16,False,False
384,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
384,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
384,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False
384,75968,4096,False,torch.bfloat16,torch.bfloat16,False,False
384,151936,4096,False,torch.bfloat16,torch.bfloat16,False,False
512,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
512,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
512,37984,4096,False,torch.bfloat16,torch.bfloat16,False,False
512,75968,4096,False,torch.bfloat16,torch.bfloat16,False,False
512,151936,4096,False,torch.bfloat16,torch.bfloat16,False,False
768,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
768,18992,4096,False,torch.bfloat16,torch.bfloat16,False,False
