gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,1,4096,1536,16,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,12.9743,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2_bnt0_kw2_fp4,0.9%,9.8303,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,2.2%,22.8046,0,0,0,11.59,13243.04
gfx950,256,1,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,13.4137,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2_bnt0_kw2_fp4,1.1%,10.7213,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,2.4%,24.135,0,0,0,10.95,25025.57
gfx950,256,1,4096,1536,64,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,-1,0,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0,0,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,0,37.11,0,0,0,0,0
gfx950,256,1,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,13.2618,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_bnt0_kw2_fp4,0.6%,9.8482,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,1.9%,23.11,0,0,0,13.07,104540.52
gfx950,256,2,4096,1536,16,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,20.9971,moe_ck2stages_gemm1_64x32x32x128_1x1_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,11.8098,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,2.7%,32.8069,0,0,0,16.11,9205.82
gfx950,256,2,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,21.7754,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2_bnt0,0.0%,13.4698,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2,0.5%,35.2452,0,0,0,14.99,17137.21
gfx950,256,2,4096,1536,64,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,-1,0,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0,0,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,0,42.81,0,0,0,0,0
gfx950,256,2,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,24.753,moe_ck2stages_gemm1_64x32x32x128_1x1_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,15.3331,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce,0.3%,40.0861,0,0,0,15.07,60268.86
gfx950,256,4,4096,1536,16,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,24.3105,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3,0.0%,14.5896,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce,0.4%,38.9001,0,0,0,27.17,7764.48
gfx950,256,4,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,27.2417,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4,0.0%,17.4934,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce,0.4%,44.7351,0,0,0,23.63,13502.35
