gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,19,8,4.1223,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x6_ks8_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.04,0.25,250.94
gfx950,256,16,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,28,5,4.637,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x9_ks5_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0106,3.53,256.86
gfx950,256,32,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1514,8,4.6652,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks8_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0194,7.02,291.11
gfx950,256,64,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1512,8,5.0828,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0187,12.89,332.92
gfx950,256,128,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2682,8,5.6362,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks8_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0187,23.26,418.78
gfx950,256,256,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1966,5,6.7479,flydsl_hgemm_abf16_wbf16_bf16_t32x32x128x5_ks5_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0137,38.85,547.82
gfx950,256,512,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1003,4,8.1122,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x6_ks4_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.012,64.63,785.15
gfx950,256,1024,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,13.066,native,0.0,80.25,896.57
gfx950,256,2048,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,13.7192,native,0.0,152.86,1633.12
gfx950,256,4096,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,23.8841,native,0.0,175.61,1833.28
gfx950,256,8192,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,28.6136,native,0.0,293.17,3024.73
gfx950,256,16384,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,42.4499,native,0.0,395.22,4053.55
gfx950,256,32768,100,5120,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,71.5359,native,0.0,469.06,4796.5
gfx950,256,1,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.5614,sol2,0.0,0.58,578.04
gfx950,256,16,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,387,8,4.6313,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0153,7.08,478.97
