gfx,cu_num,dtype,K,V,BT,H,Hg,is_varlen,use_h0,store_fs,snapshot_bf16,state_bf16,T_flat,N,total_chunks,max_seq_chunks,BV,us
gfx942,80,torch.bfloat16,128,128,64,32,16,False,True,False,True,False,2048,1,32,32,64,147.9
gfx942,80,torch.bfloat16,128,128,64,4,2,False,True,False,False,False,2048,1,32,32,64,149.0
gfx942,80,torch.bfloat16,128,128,64,8,4,False,True,False,True,False,2048,1,32,32,64,149.7
gfx942,80,torch.bfloat16,128,128,64,8,4,False,True,False,False,False,2048,1,32,32,64,150.3
gfx942,80,torch.bfloat16,128,128,64,16,8,False,True,False,False,False,2048,1,32,32,32,151.0
gfx942,80,torch.bfloat16,128,128,64,4,2,False,True,False,False,False,4096,1,64,64,16,151.0
gfx942,80,torch.bfloat16,128,128,64,32,16,False,True,False,False,False,1024,1,16,16,32,151.2
gfx942,80,torch.bfloat16,128,128,64,32,16,False,True,False,False,False,2048,1,32,32,64,151.6
gfx942,80,torch.bfloat16,128,128,64,8,4,False,True,False,True,False,1024,1,16,16,32,151.6
gfx942,80,torch.bfloat16,128,128,64,8,4,False,True,False,False,False,1024,1,16,16,32,151.9
gfx942,80,torch.bfloat16,128,128,64,8,4,False,True,False,False,False,4096,1,64,64,16,152.2
gfx942,80,torch.bfloat16,128,128,64,4,2,False,True,False,False,False,1024,1,16,16,64,152.4
gfx942,80,torch.bfloat16,128,128,64,4,2,False,True,False,True,False,2048,1,32,32,64,152.4
gfx942,80,torch.bfloat16,128,128,64,4,2,False,True,False,True,False,4096,1,64,64,32,152.7
gfx942,80,torch.bfloat16,128,128,64,16,8,False,True,False,True,False,1024,1,16,16,32,153.1
gfx942,80,torch.bfloat16,128,128,64,16,8,False,True,False,False,False,1024,1,16,16,32,153.8
gfx942,80,torch.bfloat16,128,128,64,8,4,False,True,False,True,False,4096,1,64,64,16,154.6
gfx942,80,torch.bfloat16,128,128,64,32,16,False,True,False,True,False,1024,1,16,16,64,155.2
gfx942,80,torch.bfloat16,128,128,64,16,8,False,True,False,True,False,2048,1,32,32,64,155.7
gfx942,80,torch.bfloat16,128,128,64,4,2,False,True,False,True,False,1024,1,16,16,16,156.1
gfx942,80,torch.bfloat16,128,128,64,16,8,False,True,False,True,False,4096,1,64,64,32,158.2
gfx942,80,torch.bfloat16,128,128,64,16,8,False,True,False,False,False,4096,1,64,64,32,162.8
gfx942,80,torch.bfloat16,128,128,64,32,16,False,True,False,True,False,4096,1,64,64,64,227.0
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,8192,2,128,64,64,231.6
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,8192,4,128,32,64,237.3
gfx942,80,torch.bfloat16,128,128,64,8,4,False,True,False,True,False,8192,1,128,128,16,238.0
gfx942,80,torch.bfloat16,128,128,64,4,2,False,True,False,True,False,8192,1,128,128,16,239.0
gfx942,80,torch.bfloat16,128,128,64,4,2,False,True,False,False,False,8192,1,128,128,16,240.3
gfx942,80,torch.bfloat16,128,128,64,8,4,False,True,False,False,False,8192,1,128,128,16,242.6
gfx942,80,torch.bfloat16,128,128,64,32,16,False,True,False,False,False,4096,1,64,64,64,242.8
