gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,2.879,sol2,0.0,0.18,185.0
gfx950,256,2,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.9881,sol2,0.0,0.26,135.64
gfx950,256,4,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.0827,sol2,0.0,0.51,136.57
gfx950,256,8,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1827,4,4.4966,flydsl_gemm7_abf16_wbf16_bf16_t16x64x128_split_k4_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0293,0.93,131.4
gfx950,256,1,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.6718,sol2,0.0,0.57,573.52
gfx950,256,2,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.0261,sol2,0.0,1.04,525.21
gfx950,256,4,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4022,8,4.8663,flydsl_gemm7_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0273,1.72,438.11
gfx950,256,8,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2455,8,4.7958,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0239,3.5,451.81
gfx950,256,1,512,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,5.1911,sol2,0.0,0.81,809.76
gfx950,256,2,512,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4271,8,5.3191,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0234,1.58,792.0
gfx950,256,4,512,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3659,8,5.3058,flydsl_gemm6_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.022,3.16,797.46
gfx950,256,8,512,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4023,8,5.3834,flydsl_gemm7_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0181,6.23,792.81
gfx950,256,1,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3659,8,5.8023,flydsl_gemm6_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0283,1.45,1447.5
gfx950,256,2,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4023,8,6.0322,flydsl_gemm7_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0186,2.78,1394.03
gfx950,256,4,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4023,8,5.9724,flydsl_gemm7_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0164,5.62,1411.42
gfx950,256,8,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4023,8,6.0026,flydsl_gemm7_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.019,11.18,1411.14
gfx950,256,1,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,3.8969,auto,0.0,1.08,1078.68
gfx950,256,1,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4018,4,8.5085,flydsl_gemm7_abf16_wbf16_bf16_t16x64x64_split_k4_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0134,3.94,3945.56
gfx950,256,1,4096,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1463,8,13.6938,flydsl_gemm3_abf16_wbf16_bf16_t16x128x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0208,4.9,4902.47
gfx950,256,2,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,3.9258,auto,0.0,2.14,1073.09
