gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,8.5424,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_bnt0_kw4_fp4,1.0%,6.5729,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_nt_sbm32,1.3%,15.1153,0,0,0,4.16,106555.94,
gfx950,256,1,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,9.4349,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_xcd4_kw4_fp4,0.9%,7.6187,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_sbm32,1.2%,17.0536,0,0,0,7.38,188889.02,
gfx950,256,1,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,9.7979,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_kw4_fp4,0.9%,7.8601,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,1.1%,17.658,0,0,0,7.84,182780.0,
gfx950,256,2,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,9.7845,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw4_fp4,1.0%,7.1079,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.2%,16.8924,0,0,0,7.45,95346.86,
gfx950,256,2,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,12.7098,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_kw2_fp4,0.9%,8.9563,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.2%,21.6661,0,0,0,11.62,148676.97,
gfx950,256,2,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,12.7794,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_kw2_fp4,0.9%,9.2657,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_sbm32,1.2%,22.0451,0,0,0,12.56,146406.3,
gfx950,256,4,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,12.932,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_bnt0_kw2_fp4,1.0%,9.3454,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_sbm32,1.2%,22.2774,0,0,0,11.3,72300.26,
gfx950,256,4,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,18.8188,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw2_fp4,0.9%,14.8301,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_reduce_persist_sbm32,1.2%,33.6489,0,0,0,14.96,95731.94,
gfx950,256,4,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,19.9272,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2_fp4,0.9%,15.5654,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_reduce_nt_sbm32,1.1%,35.4926,0,0,0,15.6,90936.31,
gfx950,256,8,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,19.3803,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_bnt0_fp4,0.9%,15.0143,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_sbm32,1.2%,34.3946,0,0,0,14.63,46830.35,
