M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
48,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
96,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
128,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
192,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
256,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
384,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
512,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
768,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1024,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2048,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4096,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8192,10240,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
48,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
96,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
128,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
192,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
256,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
384,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
512,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
768,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1024,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2048,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4096,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8192,8704,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
48,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
96,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
128,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
192,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
256,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
384,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
512,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
768,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1024,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2048,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4096,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8192,4096,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
48,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
96,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
128,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
192,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
256,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
384,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
512,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
768,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2048,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8192,4096,512,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
48,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
96,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
128,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
192,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
256,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
384,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
512,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
768,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1024,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2048,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4096,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8192,1024,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
