gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,16.4982,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_fp4,0.1%,5.9316,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_sbm64,2.5%,22.4298,0,0,0,13.47,107710.8,
gfx950,256,2,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,19.755,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,0.2%,11.3361,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_sbm64,2.6%,31.0911,0,0,0,19.42,77705.31,
gfx950,256,4,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,35.5994,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,0.1%,18.8919,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_sbm64,2.6%,54.4913,0,0,0,22.17,44336.76,
gfx950,256,8,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,76.2355,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,0.1%,32.4477,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_sbm64,2.3%,108.6832,0,0,0,22.23,22229.91,
gfx950,256,16,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,130.1286,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_fp4,0.1%,77.5555,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_persist_sbm64,0.3%,207.6842,0,0,0,23.27,11633.61,
gfx950,256,32,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,129.7223,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_fp4,0.2%,79.585,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_sbm64,2.4%,209.3073,0,0,0,46.16,11544.32,
gfx950,256,64,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,129.956,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w3_fp4,0.2%,78.785,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_persist_sbm64,2.4%,208.741,0,0,0,92.6,11577.54,
gfx950,256,128,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,131.9665,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w3_fp4,0.2%,79.5324,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_persist_sbm64,2.5%,211.4989,0,0,0,182.77,11430.29,
gfx950,256,256,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,134.2339,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_fp4,0.1%,84.0208,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_persist_sbm64,2.5%,218.2547,0,0,0,354.21,11083.68,
gfx950,256,512,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,137.6213,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_fp4,0.1%,86.6377,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_persist_sbm64,2.5%,224.259,0,0,0,689.47,10800.95,
