knl_name,co_name,atm,vskip,smf,tg_num_perCU,ps,subGU_m,subGU_n,flat
_ZN5aiter49fmoe_bf16_pertokenMXfp4_g1u1_novs_gelu_2tg_32x256E,fmoe_bf16_pertokenMXfp4_g1u1_novs_gelu_2tg_32x256.co,0,0,0,2,0,32,256,0
_ZN5aiter47fmoe_bf16_pertokenMXfp4_g1u1_vs_gelu_2tg_32x256E,fmoe_bf16_pertokenMXfp4_g1u1_vs_gelu_2tg_32x256.co,0,1,0,2,0,32,256,0
_ZN5aiter49fmoe_bf16_pertokenMXfp4_g1u1_novs_gelu_1tg_32x512E,fmoe_bf16_pertokenMXfp4_g1u1_novs_gelu_1tg_32x512.co,0,0,0,1,0,32,512,0
_ZN5aiter47fmoe_bf16_pertokenMXfp4_g1u1_vs_gelu_1tg_32x512E,fmoe_bf16_pertokenMXfp4_g1u1_vs_gelu_1tg_32x512.co,0,1,0,1,0,32,512,0
_ZN5aiter50fmoe_bf16_pertokenMXfp4_g1u1_vs_gelu_1tg_ps_32x512E,fmoe_bf16_pertokenMXfp4_g1u1_vs_gelu_1tg_ps_32x512.co,0,1,0,1,1,32,512,0
_ZN5aiter52fmoe_bf16_pertokenMXfp4_g1u1_novs_gelu_1tg_ps_32x512E,fmoe_bf16_pertokenMXfp4_g1u1_novs_gelu_1tg_ps_32x512.co,0,0,0,1,1,32,512,0
_ZN5aiter50fmoe_bf16_pertokenMXfp4_g1u1_vs_gelu_2tg_ps_32x256E,fmoe_bf16_pertokenMXfp4_g1u1_vs_gelu_2tg_ps_32x256.co,0,1,0,2,1,32,256,0
_ZN5aiter52fmoe_bf16_pertokenMXfp4_g1u1_novs_gelu_2tg_ps_32x256E,fmoe_bf16_pertokenMXfp4_g1u1_novs_gelu_2tg_ps_32x256.co,0,0,0,2,1,32,256,0
_ZN5aiter50fmoe_bf16_pertokenMXfp4_g1u1_flat_novs_gelu_16x128E,fmoe_bf16_pertokenMXfp4_g1u1_flat_novs_gelu_16x128.co,0,0,0,2,0,16,128,1
_ZN5aiter50fmoe_bf16_pertokenMXfp4_g1u1_flat_novs_gelu_16x256E,fmoe_bf16_pertokenMXfp4_g1u1_flat_novs_gelu_16x256.co,0,0,0,2,0,16,256,1
